 	voglio	un	forno	che	vende	rustici	</S>
t	0.937487173	0.055963734331	0.0017729404079	0.0005363632264	0.00129172028601	0.000143891271807	0.00280416426353
è	0.900952564333	0.090061405077	0.00306431051197	0.000939831519133	0.00174738785876	0.00014604160776	0.0030884417493
l	0.871168874111	0.110153003492	0.00930982165199	0.0020867449881	0.00156471633203	0.000259699521362	0.00545713704135
o	0.59447571937	0.367776324631	0.024829128844	0.00389570589815	0.00203320805541	0.000725540867273	0.00626439199473
è	0.229705894957	0.709470314877	0.0448938348813	0.00412652527005	0.00249150699232	0.00322701022847	0.00608494655462
n	0.101096406226	0.749300689626	0.117965020627	0.0148312587807	0.00318992337529	0.00412447381982	0.00949225254697
a	0.0629367502153	0.619691559209	0.257412508209	0.0379337741802	0.0105073545918	0.00318460796881	0.00833345050499
f	0.0338615918784	0.407716146536	0.469720965403	0.0589352607934	0.0152073454573	0.0032512049966	0.0113074687343
ù	0.0182903602288	0.215676345779	0.655290603134	0.0789645701311	0.0174499642458	0.00260596550153	0.0117221782064
r	0.0104642383523	0.11744215418	0.682634753045	0.13809260171	0.0225566700619	0.00550775036084	0.0233018324704
n	0.0630533313774	0.0620847243333	0.568440113882	0.19831537037	0.0271236876473	0.0448313152516	0.0361514573976
o	0.0822384741691	0.0402583125844	0.368714119494	0.32951517859	0.0946913771424	0.0591991809509	0.0253833548
k	0.0313939651284	0.0221230718188	0.263928058831	0.487314150863	0.136008834314	0.0355389026103	0.0236930109753
a	0.0152915365695	0.0169596954009	0.195171874964	0.493835687621	0.222404265371	0.0303178968101	0.0260190375058
p	0.0111200111532	0.014951095423	0.104951585141	0.422378254074	0.391950697124	0.0270595570967	0.0275888002913
u	0.0120893301464	0.0144290329423	0.0661514589937	0.331459890558	0.510240524375	0.0324925864589	0.0331371743904
l	0.0107480226618	0.0136080948274	0.0364795898512	0.264712663386	0.531046906792	0.068087162753	0.0753175540101
ì	0.00729908165693	0.0102376977998	0.0216713752904	0.218187459862	0.498646685597	0.149419700651	0.0945379972767
r	0.00608678737698	0.00837922979673	0.0129868043621	0.178068260954	0.444459615866	0.262518156044	0.0875011510722
ù	0.00808300297033	0.00480618338238	0.0078715153847	0.128705046011	0.340439276022	0.397348303041	0.112746681344
s	0.00860547307398	0.00316189219419	0.00450546422643	0.0764201713871	0.311940216214	0.491625065347	0.103741723323
t	0.0175802540546	0.0112448008366	0.00978979938994	0.0635739146448	0.252016234158	0.569287960782	0.0765070446497
i	0.0217565401989	0.0149940674527	0.0120644643349	0.0475194986386	0.147891320039	0.568103412927	0.18767069795
k	0.0140218505912	0.00687785192067	0.00593589780817	0.0292766329042	0.118845847133	0.569688968309	0.255352937117
u	0.0165478833206	0.0107943428837	0.00704095623326	0.0418357627997	0.0899045616843	0.54645232477	0.287424160772
</S>	0.0178758994703	0.0172274614554	0.00958474455263	0.0576044597072	0.0623979261821	0.464160269385	0.371149240686
