 	sono	stato	sempre	poveretti	</S>
ì	0.904990159	0.06238486219	0.0050779671816	0.00724950589648	0.0202974919797
m	0.788602917667	0.13357258613	0.00807273364453	0.0227089107104	0.0470428546439
e	0.594240468222	0.312426707977	0.0264572821188	0.0239871050181	0.0428884513298
s	0.351890310961	0.551377007326	0.0429242055329	0.033103376967	0.020705082141
t	0.173902983854	0.691145385109	0.081805426431	0.0385476271837	0.0145985447346
a	0.0852625750313	0.694248614636	0.18934802931	0.0177981078556	0.013342645927
m	0.0383632814744	0.695267043412	0.202224606603	0.0423558567279	0.0217891699612
m	0.0185762292775	0.649076831684	0.248431954068	0.057903206036	0.0260117582948
è	0.0166018148992	0.458431776575	0.422046357089	0.0463298274753	0.0565902379844
n	0.0173112754577	0.419576171458	0.41372459603	0.0768952756484	0.0724926850601
a	0.0206963913126	0.333011489773	0.44077613461	0.135231097196	0.0702848844403
p	0.0200666752309	0.138680975304	0.56248243097	0.190831799665	0.0879381175801
à	0.0221486294496	0.0707155965147	0.584274150157	0.217288460155	0.105573157447
n	0.0228712622532	0.0329603221116	0.588713430719	0.228480261585	0.126974712349
t	0.0271169923129	0.0217481644561	0.542532231573	0.271504185395	0.137098417156
a	0.0277212414754	0.0122907612736	0.410511103458	0.316488089132	0.232988805299
t	0.0149232044719	0.0170482449192	0.267399648886	0.424742533044	0.27588637472
e	0.019265989942	0.0251616207213	0.153743470529	0.563760185015	0.238068727907
c	0.0308391129967	0.0204542887174	0.0799904153763	0.597313666338	0.271402503836
h	0.0249148827146	0.014007493485	0.0536271251721	0.570411852113	0.337038644612
ù	0.0110577814972	0.00768151819044	0.0305631159234	0.567542020038	0.383155568271
d	0.00627046992107	0.00501243530861	0.0173836011271	0.631417425346	0.339916071824
d	0.00906146346269	0.00477530925514	0.014778505809	0.712354006449	0.259030713341
h	0.0178155841752	0.00385052416911	0.0151619833763	0.736667099483	0.226504804847
i	0.0255449694697	0.00386792761697	0.0373574133361	0.529764757161	0.403464924949
</S>	0.0292811641329	0.00401176110939	0.059248742124	0.331755953581	0.575702365474
