 	tu	le	hai	cucinati	le	verdure	</S>
e	0.807503788	0.13892376545	0.023539640885	0.0047527913759	0.0012832396815	0.0147797835298	0.00921702925734
s	0.5936432526	0.304023703817	0.0503853500083	0.011391399626	0.00208031771703	0.0201389003451	0.0183370999743
ù	0.378420356333	0.515291726606	0.0616889970028	0.0139766869447	0.00194643284614	0.0128384064429	0.0158373811882
t	0.249542282311	0.619576216202	0.0797705852676	0.0253011381949	0.00205167494771	0.0100187650541	0.0137393213421
a	0.155589668337	0.596574720067	0.157056834956	0.057822761605	0.0045973515751	0.0121828480666	0.0161758145011
m	0.0780447013723	0.521758530689	0.255325952985	0.104878032202	0.0141626061297	0.0140753231262	0.0117548485272
à	0.0393532845374	0.362725106163	0.420263478995	0.134997506601	0.0207478740366	0.0136035747281	0.00830917870187
r	0.0419904819258	0.216980152788	0.472745890598	0.212919539134	0.0327056883255	0.0138037595607	0.00885451736329
e	0.0492833951486	0.136986946503	0.333413825799	0.319400161045	0.107519126909	0.0329303960502	0.0204661759678
t	0.0411162271162	0.0681690263343	0.228775575133	0.404304055015	0.178460861036	0.0522306008867	0.0269436625913
s	0.0326488222901	0.0355086124494	0.153985920224	0.493798233672	0.208491112679	0.0556441253222	0.0199231670864
e	0.0202810011547	0.0221609052478	0.0829866064547	0.402234867357	0.347142348226	0.0703789906207	0.0548152630581
t	0.0187546561956	0.0135841237155	0.0471201024849	0.236765516586	0.465741748742	0.118002953027	0.100030884666
a	0.0203704740425	0.011127197858	0.0332238472176	0.144634472662	0.462482336914	0.200449476542	0.127712186509
l	0.0147429979995	0.0083698900262	0.0198340439525	0.078489524354	0.423511900305	0.298022850914	0.157028780456
à	0.0113096113338	0.00578261349693	0.0128857166762	0.0467136928489	0.327316573902	0.403094630565	0.192897157065
c	0.0109998442017	0.00777693422991	0.0163386309594	0.0218195530272	0.228190003767	0.515566876782	0.199308158402
h	0.0222854888114	0.0077503611139	0.0155146494401	0.0163177939471	0.178540061456	0.619437993927	0.140153652472
a	0.0248470819736	0.0055919010969	0.0098808020363	0.0130216411537	0.131935262125	0.538310924576	0.276412390762
n	0.0135976381447	0.00833617583413	0.00888414534373	0.0126163817487	0.101753708922	0.470517159859	0.384294783787
a	0.061419117402	0.0128522792873	0.00901072067324	0.018102503865	0.100688141607	0.448155075553	0.349772166196
</S>	0.112811398212	0.0153494752517	0.0105823760302	0.0205149726795	0.0952197835935	0.364321683576	0.381200331898
