 	l'	ho	sentito	che	veniva	</S>
o	0.5607230867	0.16943878883	0.188799448928	0.016979896347	0.0232194612168	0.0408393084758
n	0.259285684833	0.336280508743	0.209481334176	0.0226984868263	0.0932344414026	0.0790195384413
ì	0.115230097611	0.377563839514	0.302185956325	0.0295717074994	0.105652268723	0.0697961372368
k	0.0924530046437	0.307193275305	0.455933819442	0.0511143196998	0.050842858143	0.0424627370932
u	0.0917041505466	0.221056400902	0.465227591147	0.1378423967	0.051327486305	0.0328419853683
s	0.0508512883609	0.116614815397	0.385026549382	0.295450263033	0.122418396512	0.0296386993308
a	0.0275049301803	0.0613797546283	0.224463489461	0.428762643344	0.211782587941	0.0461066003249
k	0.0176846070954	0.0363034334894	0.117538446976	0.489482773115	0.263627308427	0.075363429095
a	0.0158632746071	0.0251759929078	0.0582646105947	0.432201120105	0.368988084209	0.0995069135783
è	0.0138801680657	0.0176359049033	0.0301650376516	0.273615692435	0.573410939736	0.0912922457928
r	0.0074520894619	0.0144914857474	0.0131703444432	0.187932710345	0.662506404579	0.114446948998
k	0.0053980979373	0.0209076985868	0.0110989888771	0.145647094295	0.62405692286	0.192891197599
a	0.0105231737391	0.0210745233109	0.0113020783937	0.0713740333117	0.589970954287	0.295755237666
t	0.0106882813586	0.011870207849	0.0066854036179	0.0660998211639	0.578028722429	0.326627561555
o	0.0166611419359	0.0145784615702	0.0059671547113	0.0766267825526	0.506640760476	0.379525688918
</S>	0.0266598866242	0.0208967940299	0.00745893977065	0.0654655042833	0.417010527238	0.462508328059
