 	vado	vestito	</S>
i	0.973142336	0.014343820927	0.012513843567
p	0.956767765333	0.0218998282783	0.0213324046977
à	0.879763311111	0.0839655781488	0.0362711132019
o	0.63022369057	0.265194981516	0.10458134933
n	0.311549480123	0.434054939972	0.254395595977
d	0.192124927574	0.442014940124	0.365860144192
i	0.176593162009	0.440261481375	0.383145359131
m	0.103479395614	0.456403410925	0.440117177444
è	0.059888923622	0.405042858908	0.535068207148
n	0.0513193363713	0.386383691856	0.562296953049
o	0.0433919399564	0.330918546632	0.625689491016
</S>	0.0432903967172	0.262090520206	0.694619069508
