 	venne	scritto	</S>
ì	0.895563866	0.088252920384	0.016183207459
r	0.7666930304	0.155692034613	0.0776149305293
t	0.654964981067	0.209802223271	0.135232804889
e	0.598886201022	0.25043691747	0.150676894125
g	0.457081089101	0.40517912647	0.137739784475
r	0.270585943847	0.606831052157	0.122583020792
a	0.152392076249	0.646724550052	0.200883395397
m	0.0777733142763	0.636468786017	0.285757909732
m	0.0402785538008	0.574759941112	0.384961515311
è	0.0433977427989	0.435693317644	0.520908941104
n	0.0871209372056	0.402770619515	0.510108443701
o	0.132222071791	0.313738968878	0.5540389657
</S>	0.142841083426	0.189840535799	0.66731838455
