 	i	bambini	piccoli	vengono	vestiti	dal	padre	e	dalla	madre	</S>
t	0.797128885	0.18809197404	0.0025497610867	0.0016332368639	0.00257155260857	0.000833728114573	0.000576725662181	0.0008345312349	0.000281646993727	0.000316676349156	0.00518130430583
a	0.6083545568	0.36475127206	0.0104612419556	0.0034079948769	0.00310744394639	0.00088477419571	0.000622869766226	0.00108669587128	0.000441969160781	0.00158565925996	0.00529553479549
p	0.410057685267	0.54319832144	0.0321818077872	0.00475471508697	0.00385601218393	0.000517176265529	0.000322829786055	0.000685567667343	0.000359691452796	0.00189377404201	0.00217244617116
e	0.300396355062	0.651426541813	0.0378820360757	0.00360684911632	0.00368561730442	0.000330847197414	0.000253826390986	0.000294641155833	0.000150952256876	0.000724673590463	0.00124770812613
d	0.196345439303	0.699040127271	0.0786391269252	0.0119903534281	0.0105699883025	0.000509571143243	0.00071480353659	0.000242862482923	0.000152285630285	0.000503365294812	0.00129209684975
ì	0.118598157726	0.679305561757	0.168775083442	0.0172167762894	0.0129153400154	0.000596074534805	0.000796021009821	0.000208912682809	0.000143349075765	0.000386269782482	0.00105845077024
a	0.062747168138	0.554402450319	0.312042839147	0.0579225812565	0.00802417854708	0.000927955651326	0.000927701304898	0.000423857322621	0.000211558047334	0.000480146564202	0.00188956343081
m	0.0319483346107	0.33987210764	0.485948099716	0.0945869626188	0.0333628505544	0.00190633175311	0.0017765593171	0.000662888240497	0.000462633901927	0.000988449162424	0.0084847873181
i	0.0280269224665	0.190223046633	0.627040928572	0.0971965108729	0.0421049114253	0.00218725324473	0.00180889627189	0.000532607237659	0.00054766831694	0.000934498829156	0.00939675490963
n	0.0255510504118	0.102461070538	0.658113309524	0.155990570558	0.0411452542823	0.00259570694394	0.00246264985482	0.000606166694293	0.000601926226844	0.00121534164501	0.00925693575337
c	0.0296680057686	0.093538068176	0.553422020135	0.238077481053	0.0459749213608	0.00419200278798	0.00522138764284	0.00149940159803	0.000837400733348	0.00316089584537	0.0244083994995
i	0.0637174219069	0.0840437179487	0.450348457538	0.332091513884	0.0309854386736	0.00449593675066	0.00528233548936	0.00159497505305	0.000732654959976	0.00311665085674	0.0235908838983
à	0.0609884865496	0.0403560296829	0.321888015179	0.519159619295	0.0304286507265	0.00556157711755	0.00474956333473	0.00265836979306	0.00204302507539	0.0035082793923	0.00865839117511
è	0.0221605768258	0.0166754363963	0.164367480493	0.697277188432	0.0546331079442	0.0137594546918	0.00935178504294	0.00534655037983	0.00389711180226	0.00621529413251	0.00631603937702
r	0.00862057424907	0.00746886779743	0.0785122284643	0.679004060277	0.164776743335	0.0277069581999	0.0137706049079	0.00472860689874	0.00328070391075	0.007001458104	0.00512921645805
k	0.0114949254148	0.0149709749687	0.0711005076281	0.533090140226	0.280297107045	0.0318843475693	0.0318459263766	0.00720201233011	0.0032418526325	0.00850125627789	0.00637096836902
u	0.0138208406875	0.0174533315064	0.0586613746494	0.403668468942	0.324078223815	0.10925025019	0.0438276579235	0.00984244748337	0.00467769569235	0.0081539591174	0.00656577308166
t	0.0066641638123	0.00850204182901	0.0273291981051	0.296104417514	0.446292978605	0.15111123177	0.0341169814745	0.00754516065732	0.00486086532065	0.0105341655089	0.00693881875641
t	0.00306150816027	0.00661261262203	0.0242301937688	0.223232157105	0.544605228868	0.11196647523	0.0509103822882	0.00778129372931	0.00423955298548	0.0145678380788	0.00879276709562
e	0.00202140626133	0.00450845833042	0.0194332322423	0.157166882862	0.510548032623	0.20024784301	0.0747127460394	0.00993956016377	0.00507509732435	0.0110565811665	0.00529016337351
n	0.00130432969142	0.00626156062204	0.00957385931703	0.0935667793807	0.519395531874	0.242047221003	0.0765908415998	0.0162877194466	0.00787849126572	0.0160794400905	0.0110142196452
d	0.00250819075474	0.0108395832339	0.00755931514501	0.0689162039736	0.515702167291	0.223292590001	0.0955848633066	0.0235192326062	0.0107122874235	0.0243813964466	0.0169841572411
i	0.00482281764587	0.009147452609	0.00591310864567	0.0476767814845	0.417531261764	0.296568079334	0.137777331809	0.0326344144021	0.0143906743845	0.0207393988955	0.0127986697237
m	0.00472439311042	0.0105188884986	0.00480415475189	0.0298671581548	0.410680797921	0.292098849645	0.157767083803	0.0346792499874	0.0147097069448	0.0187480677582	0.0214016419759
è	0.00425759238481	0.0105747120535	0.00380272962196	0.0230899176249	0.38615687404	0.283213993082	0.173505431068	0.0527202221025	0.0205967308083	0.0201459821191	0.0219358020833
n	0.00551024297972	0.00923690938717	0.00245828358092	0.0381881310016	0.33706522148	0.263806563894	0.219325074089	0.0647231978208	0.0239270385928	0.0186193943384	0.0171399153391
i	0.00871344600115	0.0129024422366	0.00316439608524	0.0385042043905	0.263148423867	0.211111042165	0.264228413363	0.11923809534	0.0403587249809	0.0216249488748	0.0170058430864
à	0.00877169129772	0.0105403201409	0.00394431276035	0.0182073021115	0.126685445384	0.186181054588	0.303195215988	0.19711001438	0.10023942506	0.0344241438974	0.0107010807255
