 	quest'	anno	che	viene	mangio	quanti	voglio	</S>
f	0.887880624	0.08330828899	0.001970570387	0.0052826524517	0.00585574076425	0.00817834240349	0.000560698146529	0.00696307441839
è	0.850046386667	0.118369348197	0.00308976505967	0.00632926712177	0.00617834250674	0.00820196284964	0.000557143587402	0.00722777917094
o	0.686650472356	0.277375905666	0.0132272121786	0.00705315452712	0.00439469283923	0.00522096511979	0.000914129012053	0.00516346060556
p	0.377673060519	0.540810950555	0.0433647709662	0.0168697055477	0.00411468645374	0.0085982672786	0.002576254983	0.00599229683319
p	0.187769018706	0.663719716185	0.0875679254554	0.0252882395679	0.00649201474725	0.0156048480069	0.00923204167663	0.00432618448681
ò	0.110357461502	0.661144520728	0.153131845285	0.0379258146693	0.00946084548242	0.015180083245	0.0106248048627	0.00217461053118
r	0.104124445234	0.511297000909	0.291284113095	0.0485510993764	0.0105933464408	0.0188308995677	0.0102929946575	0.00502609046622
k	0.094657220608	0.387698502303	0.373036011165	0.0620847326655	0.0166435274203	0.0322447103292	0.0206222024728	0.013013085625
e	0.0525829875127	0.293581287968	0.441940181855	0.107344955602	0.0324638396734	0.0388873099631	0.0209619341062	0.0122374898004
t	0.0243026831309	0.180227932289	0.532916313952	0.141463638521	0.0475649672578	0.0420904572677	0.0239479367971	0.00748605862552
e	0.0148696942236	0.116285751423	0.484171733317	0.207719493094	0.107020891586	0.0385814957092	0.0235208232124	0.00783011453389
e	0.0159330182745	0.0474497638543	0.333122138706	0.314916109698	0.237223126529	0.0306893468364	0.0116876932481	0.00897880161796
t	0.0107745300715	0.0220197334594	0.204041120435	0.378394009233	0.30589238911	0.0542929213455	0.0120983346334	0.0124869729827
r	0.00612697617826	0.0175462242331	0.172643376652	0.327020933098	0.293267094637	0.144178825829	0.0156231411845	0.0235934466182
ò	0.00627884145318	0.013965426087	0.127740519557	0.221363212186	0.408062409546	0.178063736276	0.0178611674615	0.0266647075447
o	0.00710830695306	0.0087964936906	0.055344195099	0.208697554795	0.527240531182	0.133994750625	0.0374736334738	0.0213445497762
p	0.00553079187755	0.00624640394647	0.027237291113	0.188125691798	0.454783982127	0.216805416275	0.0620841253579	0.0391863065414
ò	0.00460995864305	0.00381844302949	0.0169301853139	0.115739943159	0.344841309576	0.321678434092	0.145071362653	0.0473103878131
s	0.00415847810325	0.00285351447013	0.00927719303203	0.064630592047	0.255633209325	0.381741459364	0.231155674751	0.0505498963077
s	0.00725502028335	0.00397399285758	0.00898789901768	0.034947921023	0.212225075608	0.435981403255	0.223516751917	0.0731119382159
a	0.00992724067448	0.0061987406751	0.00728961309376	0.0227785184944	0.1762238945	0.358727209318	0.260655403372	0.158199388252
t	0.00575901176255	0.00526182722177	0.00626698341005	0.0147844792888	0.099892544764	0.284227399073	0.383546053391	0.200261703484
è	0.00673949429311	0.00397527107192	0.00559319878309	0.0087426471132	0.0488974800187	0.218622904291	0.544810815797	0.162618195335
l	0.00647946412884	0.00283857708713	0.0028609616993	0.0048472626256	0.0326841649976	0.165360778537	0.647006736599	0.137922063485
o	0.00661729972421	0.00461266418694	0.00454589586843	0.00490354255613	0.0300080073632	0.131309251266	0.521967530866	0.296035799628
</S>	0.00988612315911	0.00757258189747	0.00721369662921	0.00606575202707	0.0269984401866	0.080708495703	0.387410279433	0.474144618214
