 	deve	che	entra	da	qui	</S>
è	0.868589032	0.09367185638	0.0214247678144	0.0060214839281	0.00131479569623	0.00897807222188
n	0.759495743333	0.146929685913	0.0521059113448	0.00697519927377	0.0131452740334	0.0213482090137
g	0.494632756164	0.222231284504	0.220904421982	0.0199639432779	0.0209940594031	0.0212735432363
h	0.209502221908	0.312477082835	0.418847145461	0.0324322840793	0.0143158667604	0.0124253904143
i	0.105219182196	0.397445826278	0.41596120302	0.0544126195664	0.017906863754	0.0090542859723
s	0.0688970253581	0.409702663826	0.394487753007	0.0928187382135	0.0281062446512	0.00598756009986
e	0.0566590949748	0.279795274142	0.436397793669	0.183962947049	0.0340703455371	0.00911454399705
n	0.0454664005159	0.152242605394	0.469465021223	0.271240961683	0.0499466819324	0.0116383252924
a	0.0400942252802	0.0846445367047	0.399777475408	0.374081030561	0.0787664429708	0.0226362765775
m	0.0283115406437	0.0519389268882	0.341166142649	0.410571235187	0.124639836857	0.0433723039458
b	0.0204326594965	0.0369728194627	0.28769448713	0.350828614062	0.220551867419	0.0835195393086
i	0.0173598120344	0.0248130770009	0.140515950421	0.372295636021	0.29372321934	0.15129228803
a	0.0190761137855	0.0152086004443	0.059259207211	0.365579113347	0.365537567247	0.17533937781
p	0.0200173977298	0.0104413274341	0.0289098957563	0.284600385042	0.476498348949	0.179532641617
ò	0.013263760351	0.00880286759003	0.014140769863	0.213375303734	0.54972687785	0.200690428339
t	0.00780733865739	0.00545964961081	0.00654436773193	0.135371027191	0.683477500617	0.161340111466
t	0.00673894616066	0.00397257899449	0.00708886013158	0.0603733480277	0.772013242206	0.149813010655
ù	0.00772560324575	0.00447015838892	0.0106738713721	0.0375461192199	0.641517190735	0.298067044752
</S>	0.00621302403487	0.00494048927046	0.0115141099861	0.0338082616999	0.529733163367	0.413790937776
