 	loro	non	vengono	non	li	aspettiamo	mangiamo	</S>
c	0.887298617	0.04842824929	0.0501598935984	0.0011512716713	0.0034213718302	0.00021603951436	0.00126266844889	0.00806191229099
ì	0.764880865	0.128279895823	0.0787295095848	0.00241891204323	0.00711814049283	0.000570353596969	0.00148811513026	0.0165142270261
n	0.617384646133	0.218437245254	0.132691767267	0.00361493725401	0.00772417910718	0.00112042636976	0.00153056658397	0.0174962393569
i	0.439953246271	0.295137963418	0.217829645769	0.00997063604694	0.00811310465973	0.00839876015902	0.0108583222934	0.00973832125967
e	0.235693892552	0.329243135539	0.345122085323	0.0181767599756	0.0238744124739	0.0132899695699	0.0141002636096	0.0204994833777
n	0.132255659086	0.244645865253	0.506790653441	0.0293028005305	0.0373575480893	0.00830705727283	0.0136011781296	0.027739237299
è	0.0819576307287	0.160457915691	0.589030039147	0.0969641428155	0.0338027215164	0.00739798133428	0.0156011013443	0.0147884589508
r	0.0483965831629	0.0898533483903	0.633493143716	0.127593942239	0.0514945026055	0.0210375950981	0.0145596635438	0.0135712166832
k	0.0496911273383	0.0453568845901	0.616162921905	0.10960662112	0.0910576213018	0.0441848042534	0.0276833049413	0.0162567046079
o	0.0514544857688	0.0229648244034	0.505413035302	0.165067013813	0.148977560167	0.0449373522351	0.0488107244398	0.0123749950724
t	0.0248779881136	0.0149664947658	0.373880043967	0.205176533671	0.250542636256	0.054498692505	0.0557787125966	0.0202789033495
t	0.0113466671799	0.0105259949239	0.271893965756	0.15443307567	0.369365100085	0.111411587762	0.0440591012589	0.0269645108893
e	0.0151688507429	0.0106403502386	0.175687218352	0.09941058287	0.477160438428	0.136043840014	0.0639931491703	0.0218955705892
e	0.0174348070339	0.00860971099953	0.0758873410613	0.0905955648567	0.526208562543	0.182413182771	0.0770486644541	0.0218021580297
t	0.00898987109663	0.00513350726884	0.0294083110178	0.0689420555056	0.451916686848	0.29516648159	0.098276594418	0.0421664764766
u	0.00928169361288	0.00674911729528	0.0144300068926	0.0356387130019	0.332712948949	0.345981789197	0.184665476206	0.0705402476589
s	0.00900331160056	0.00659593463936	0.00842225958487	0.0208554471873	0.23250482005	0.368830617732	0.252301260802	0.101486355553
m	0.00848552547305	0.00477182828165	0.00498136382296	0.0122196982351	0.138790151803	0.356850242577	0.314966129734	0.1589350868
è	0.00927102240628	0.00409228057435	0.00487633604765	0.00810321784437	0.0890880755077	0.299868465859	0.405595614178	0.179105021196
n	0.00581575242209	0.00485187624712	0.00818732945922	0.00734451927079	0.104855140223	0.26667840362	0.428513732993	0.173753267312
o	0.0087549444887	0.0122539896865	0.0132929224107	0.00988434028893	0.0934136702743	0.21194930836	0.438938050998	0.211512780904
m	0.0100351274376	0.0123742011973	0.0102433308987	0.00981352879724	0.0430751952368	0.19403548734	0.483849295666	0.236573824368
e	0.0129959475275	0.00936320129901	0.00831438424357	0.00599711430655	0.0225707235063	0.162952348887	0.550521286555	0.227284988029
t	0.0133095168892	0.00826580785337	0.00755556239802	0.00471735098718	0.0120105692954	0.122699534002	0.625716006185	0.205725651716
r	0.00770328717833	0.00372318851986	0.00319421108634	0.00317063531286	0.00725102198647	0.105761332087	0.658770615395	0.210425695439
ò	0.00586648180718	0.00278114161835	0.00237754279695	0.00368433242402	0.00590412247109	0.054605338409	0.679602334465	0.245178696346
m	0.00338160818346	0.00216107540746	0.00188914059316	0.00323196542167	0.00547772043863	0.028524860963	0.734636158155	0.220697466802
e	0.0231632898212	0.0209464209566	0.00979735262303	0.0118681809694	0.00995073029088	0.022564081777	0.597954635585	0.303755294021
</S>	0.0437602652506	0.0403118181083	0.0180975214615	0.0216074965151	0.0139991665884	0.0214953592725	0.414085585092	0.426642763511
