 	vogliono	girate	</S>
t	0.910468936	0.052084558445	0.037446498764
è	0.916290183333	0.0461984973903	0.0375113180673
l	0.913825888444	0.0539405572801	0.0322335642268
u	0.788409404815	0.151005586597	0.0605850155413
n	0.640069868272	0.274945609199	0.0849845324871
e	0.462265611357	0.428336837266	0.109397570609
v	0.264528906119	0.551933019289	0.183538084116
o	0.158385393066	0.58660452443	0.255010087172
t	0.117374897909	0.57217756841	0.310447525991
i	0.0857723213097	0.55321029307	0.361017367597
m	0.0450583036366	0.60685513369	0.348086555599
m	0.0342474386522	0.624690240697	0.34106231796
è	0.0438434345041	0.507786620099	0.44836994848
n	0.0392205549014	0.578412013766	0.382367436893
e	0.0530254547271	0.530663129255	0.416311419698
</S>	0.0757756263535	0.320042755628	0.604181617849
