 	non	sono	ancora	vestita	</S>
e	0.614209478	0.24907459067	0.044873266313	0.0029719345098	0.0888707172352
n	0.380289069333	0.465558356223	0.0485008526043	0.00521533919907	0.100436387894
ì	0.192190105958	0.704811607408	0.0504993834348	0.00505053552282	0.0474483822805
m	0.0830658403727	0.763472069136	0.0841965666783	0.0280953222663	0.0411702277263
e	0.0468034135576	0.624567187045	0.248330274293	0.0413247729154	0.038974386621
a	0.0315673465445	0.352845124665	0.531777009431	0.0354964612785	0.04831407718
n	0.0333630119135	0.143223960205	0.660593592077	0.0831243209528	0.079695104793
k	0.0531901943912	0.103035422715	0.558766890692	0.172850857851	0.112156611731
ò	0.0512627441304	0.082587029885	0.537733879297	0.210862290817	0.117554035997
r	0.0265621627783	0.0354978409617	0.637093180432	0.232086282472	0.0687605158457
a	0.030941937861	0.0272514733072	0.501253626211	0.325540669957	0.115012289042
e	0.0517258196643	0.0420855401664	0.265431737404	0.427253054452	0.213503838547
n	0.0421855453556	0.0354468837061	0.141273888975	0.584776024151	0.196317642782
d	0.025417591195	0.021927805581	0.0979256778983	0.614641259384	0.240087665194
i	0.0305465770313	0.0207476604747	0.0764989224528	0.522576594461	0.349630253398
m	0.0393969817019	0.0174681243916	0.0696258840376	0.532070789487	0.341438224333
è	0.0390440122594	0.0182037632659	0.0798635966592	0.570088931162	0.292799693378
n	0.0371178690258	0.021133372068	0.0596897934664	0.618140369721	0.263918589859
i	0.0331761561359	0.028580292878	0.0527964651421	0.465612613707	0.41983446122
</S>	0.0296308953909	0.034390833869	0.0582015260511	0.290403098553	0.58737363591
