 	se	nella	nella	pasta	voleva	sale	l'	avevo	messo	</S>
a	0.58801432754	0.3632318338	0.023833330566	0.004175495233	0.00172033083663	0.00159933812536	0.000228069049472	0.000675758149363	0.00124012937464	0.0152813960183
m	0.299210990567	0.577785839933	0.0611217862553	0.0173853334688	0.0208085267454	0.0018050307615	0.000295988010139	0.000994958094214	0.00276078460159	0.0178307562274
e	0.116125915233	0.677853305978	0.107787562418	0.0207042199983	0.0298603523319	0.0019691520821	0.0111406355071	0.00186759168706	0.00423548330652	0.028455761453
s	0.0460672180685	0.696385653326	0.150145563539	0.0291379278434	0.0181188040267	0.00409846202097	0.0147386557335	0.00248182183997	0.00659574987458	0.0322301313037
t	0.0217617380342	0.636754359109	0.244788600513	0.0510111195811	0.0132941188276	0.00448990663832	0.00528238741986	0.0018422014186	0.00718609610833	0.0135894747144
i	0.0100858636027	0.509579167036	0.413791697504	0.044798733647	0.0080024892212	0.00203081885277	0.00220646630795	0.000953888635355	0.00397837674875	0.00457249948146
p	0.0261846466362	0.323469824745	0.516315365168	0.0563536271357	0.0528848572204	0.00469795927092	0.00108682971322	0.00199373139857	0.0150423918063	0.00197076820316
à	0.0324184252814	0.171379705982	0.594464674389	0.0962848507119	0.0766306160968	0.00584497811164	0.000655827277073	0.00239189895316	0.0187563182136	0.00117271318324
s	0.0148917563145	0.118239452927	0.603506929663	0.183424428704	0.0605953016889	0.00497399131855	0.000693947016691	0.00131213329607	0.00713293423346	0.00522912534463
t	0.0151559114582	0.0801652512157	0.494089460088	0.303134371835	0.0843476736696	0.00551087619618	0.00607549077146	0.00137062764953	0.00339140146323	0.00675892867681
a	0.0162628232221	0.0434429561319	0.390628114163	0.321953780278	0.194851752997	0.0125916003487	0.0105246349034	0.00352369673331	0.00279512232319	0.00342551500643
ì	0.0115992349827	0.021439436844	0.232040192654	0.294197335359	0.369257342666	0.0498649781162	0.00786133843647	0.00751877440737	0.00387718389459	0.00234417639348
c	0.0164840963276	0.00915074095867	0.0992316227473	0.27923674592	0.481104444622	0.0922904263721	0.00471839848282	0.00748424979279	0.00681613735129	0.00348312320939
h	0.0234537310159	0.00538360419489	0.0557684762451	0.26109920164	0.536185868074	0.091047614924	0.0106213866538	0.00548831944	0.00693226132644	0.00401951393402
e	0.0174097116113	0.0038714998783	0.030763054975	0.20135773504	0.561383638825	0.144124937441	0.0249768074021	0.00914598632167	0.00400916336649	0.00295745675523
