 	sto	ancora	cucinando	</S>
s	0.960931561	0.013086578269	0.0151332447872	0.0108486147391
t	0.923241295667	0.046028034943	0.0200181916368	0.0107124812548
e	0.753365056556	0.224840673274	0.0145029334404	0.00729134748965
a	0.418628139985	0.522065937425	0.0157508693961	0.0435550872875
n	0.183449298595	0.678568233142	0.049019179872	0.0889633232105
k	0.186062570598	0.636264652847	0.104277244497	0.0733955459768
ò	0.194903526719	0.604679422749	0.157383381666	0.0430336730803
r	0.105390932993	0.666986607383	0.193870715682	0.0337517426208
a	0.0595093071963	0.583056100528	0.279859996621	0.0775746085929
m	0.0429386786574	0.452001064976	0.400317790507	0.104742485531
a	0.0251543036234	0.327561081619	0.563067985136	0.084216644777
r	0.0168004063267	0.195452502706	0.684574509912	0.103172590559
è	0.00752679899863	0.125064226329	0.767772212171	0.099636769733
o	0.00683788856794	0.0556331096663	0.772302172724	0.165226840718
n	0.0211666426813	0.0417365396588	0.702832415575	0.234264419399
t	0.0293026594614	0.0486412267329	0.691471560525	0.230584586733
a	0.0251448433072	0.0454874287696	0.572184633975	0.357183117978
</S>	0.0259071753403	0.0335126562528	0.470642889688	0.469937285689
