 	Valeria	legge	il	giornale	</S>
e	0.970395738	0.0286701738156	0.000291380631	0.00020678019244	0.00043591986505
V	0.912445274	0.0851768250919	0.000487780068533	0.000694079215387	0.00119602944999
a	0.869927033333	0.124874386464	0.000906272117044	0.000928742055556	0.0033635577074
l	0.736716663111	0.248556535481	0.00397627528321	0.00334173509568	0.00740879051056
è	0.555573742464	0.423343374894	0.00955034987907	0.00463359010403	0.00689893653021
r	0.443375318915	0.513074213698	0.0192776280764	0.00543298196348	0.0188398506915
i	0.301620848132	0.574308987899	0.0734336180521	0.0155538282418	0.0350827178732
a	0.172600724324	0.6147475373	0.152553054551	0.0211631199513	0.0389355624744
m	0.0842910209147	0.668582037767	0.191075685384	0.0210694074304	0.0349818399981
e	0.0464362800549	0.576859677922	0.292132840395	0.0504046125835	0.034166589182
l	0.027969568135	0.427493957774	0.403008190732	0.0975282904545	0.04400000291
e	0.0189376174317	0.316615175291	0.470255313377	0.147755688932	0.04643622335
t	0.0154035394867	0.226202933304	0.468411471792	0.210207892131	0.07977416243
à	0.0108460166604	0.157156649591	0.457568371931	0.283862964044	0.0905659851567
o	0.00669552131547	0.092776593663	0.386448434944	0.429644843348	0.0844346123322
g	0.0407492846292	0.0784000570643	0.276922823615	0.501644561116	0.102283267977
i	0.0535862184251	0.0641321155409	0.226231696692	0.571766241039	0.0842836997923
o	0.022550664171	0.0471728118158	0.139175442507	0.71177188168	0.0793291759974
r	0.00986282492833	0.0488935463776	0.0914623908723	0.676642151893	0.173139079932
n	0.00670129368771	0.0440065270811	0.0625265981181	0.612680202964	0.274085382711
à	0.00710922149224	0.0205398571319	0.0473101204307	0.640376576388	0.284664220057
l	0.00652559465961	0.030766855753	0.0421310128609	0.697792249863	0.222784275639
e	0.0158209279707	0.0410549416273	0.0566075282403	0.575522941488	0.31099366408
</S>	0.0254152389054	0.0330228206836	0.0752182591902	0.414830899044	0.45151279484
