 	lo	posso	finire	di	scrivere	</S>
o	0.6274706138	0.27758557155	0.0085917057621	0.0132777043885	0.0379800029984	0.0350944304142
s	0.343258626613	0.558247186517	0.010651452414	0.0134545411845	0.0381508910001	0.0362373220612
ò	0.180271484238	0.746836677506	0.013485291482	0.0100052030133	0.0270228443796	0.0223784988976
z	0.194722336366	0.690712466502	0.034665971198	0.0107463828896	0.027334691774	0.0418181550977
o	0.196808542975	0.594252408834	0.140499484299	0.0131061901452	0.0145129804003	0.0408203993652
s	0.108666760145	0.554514697611	0.288921612766	0.0210683565484	0.00773561994597	0.0190929578563
p	0.096508781775	0.400829172204	0.412698611589	0.0626856164561	0.012635501654	0.0146423240635
i	0.0885891685104	0.197699581155	0.601895733863	0.085929480132	0.01442222307	0.011463816086
c	0.0410871482795	0.0954213143383	0.717601426621	0.118786935911	0.013060047362	0.0140431241187
c	0.0235048173138	0.0594395408461	0.646783120207	0.203960533504	0.026971575618	0.0393404033642
è	0.0225970069529	0.039826662526	0.575007610402	0.290194594901	0.0296799243527	0.0426941923341
t	0.014871441335	0.023980241606	0.572696507801	0.32352749102	0.0413768133182	0.0235475110527
s	0.0215134480261	0.0362097950697	0.531475325934	0.28053393006	0.0827429595601	0.0475245689549
i	0.033324506363	0.0595628913582	0.384776146311	0.343476082353	0.102849655087	0.0760107569156
à	0.0252621205359	0.0978892927041	0.244791340237	0.446336711664	0.112511210529	0.0732093468385
t	0.0129916496071	0.0931272191807	0.204377412566	0.434406563501	0.147675682243	0.107421478386
s	0.0238344646852	0.0418046235623	0.191685491082	0.329417029834	0.237692265414	0.175566135135
e	0.0312786772255	0.0341793446142	0.161140482661	0.209143906278	0.287750201071	0.276507385478
g	0.0174080002836	0.0345626094929	0.111199516964	0.167226697693	0.30205119709	0.367551976959
r	0.012009845245	0.020815974607	0.0848790470853	0.160221959498	0.316096234497	0.40597693812
à	0.010747334793	0.0195028364995	0.0984673918511	0.116811332756	0.347476902299	0.40699419004
t	0.00762122112453	0.0206677771534	0.0781510421433	0.0785930339087	0.438960513566	0.37600640788
s	0.014551165755	0.01591715496	0.0620267321574	0.0663045509429	0.504817196789	0.336383206027
i	0.0199906536663	0.026574584318	0.0745856055185	0.0436485566936	0.381632628863	0.453567978876
</S>	0.0167803757311	0.037845197769	0.0768955480192	0.0339534920558	0.236627796931	0.597897593438
