 	pure	che	ti	ho	visto	una	volta	solamente	non	ti	dimentico	mai	</S>
p	0.966698254	0.00986899787	0.0050351175924	0.0015237284103	0.0091576802583	0.00087594222941	0.0015810841064	0.00117792421179	0.000259128450181	0.000288238630719	0.000111445033227	0.000239422174313	0.00318303551989
ù	0.853399947333	0.0990828917033	0.0147177776321	0.00568768990393	0.0115372161503	0.00229712988991	0.0063217033062	0.00128232449498	0.000518830151234	0.000388784908108	0.000144728313403	0.000246595177363	0.00437439065108
r	0.656998929778	0.250546074034	0.0423211678654	0.0128849909785	0.0161913750058	0.00331731001101	0.0084092156321	0.00138112667568	0.000727567542913	0.000329751128768	0.000209378419624	0.000371316974272	0.00631181883242
u	0.387414486459	0.482214286011	0.0778710389551	0.0191666779542	0.0161530460033	0.00321404869567	0.0044435857424	0.00155226388939	0.00112233321741	0.000371765738935	0.000266030899871	0.00043110571725	0.00577935035879
k	0.180090618686	0.61310825267	0.121886171052	0.0343613052047	0.0253305811224	0.00558184335356	0.0113186417785	0.00202191292838	0.00166785471155	0.000429653531893	0.000333086350929	0.000308305742484	0.00356177235936
a	0.106565663269	0.55673991089	0.219553722351	0.0607131930616	0.0291766233475	0.00586761963285	0.0136176043192	0.00222281283166	0.00156036017407	0.000414004554051	0.000331278034643	0.000259789201534	0.00297740795481
s	0.047761726783	0.48384339363	0.292983376784	0.112000152414	0.0387141022758	0.00576389223962	0.010264867716	0.00287649717035	0.00176560898138	0.000425729644124	0.000283150980188	0.000497208587121	0.00282029095187
ì	0.0218168517637	0.33091657321	0.392857072928	0.186256721005	0.0450188912386	0.00585580059987	0.00925316160807	0.00283637980776	0.00157996625549	0.000304798468467	0.000213509766743	0.000543884675131	0.00254637506855
t	0.0108168308399	0.21998441247	0.458355031643	0.240151306068	0.0476949551595	0.00871092897129	0.00949304652542	0.0019126757924	0.000816805386637	0.000179076295428	0.000154999009578	0.000207480968307	0.00152242973604
a	0.0108162642326	0.151561143517	0.427445962548	0.284775114423	0.0789232764532	0.0298313047551	0.0105349365511	0.0026327501515	0.00132223555149	0.000292950801729	0.000217905634117	0.000148406487855	0.00149772907551
m	0.0107086538875	0.0758685820857	0.393654060849	0.283496595141	0.170458722018	0.0406608648517	0.014507742995	0.00607969675183	0.00193822981496	0.00048614435811	0.000311516837972	0.00018652975437	0.00164264306998
i	0.0086185458665	0.0425626545219	0.300115062816	0.27623681898	0.268334429673	0.0706019621039	0.0193671419517	0.00728798375794	0.00299433107432	0.000642847417877	0.000433845278077	0.000271368705964	0.00253301770185
a	0.00806154925283	0.0201602444986	0.164101415725	0.250346853233	0.374169300558	0.119243571588	0.0428473162772	0.0101990141	0.00644822630944	0.00113714336847	0.000488601266112	0.000405114193204	0.00239168230634
f	0.00468191790761	0.0119434859327	0.0724609401517	0.189125218398	0.461407605519	0.136023399663	0.0907317804191	0.0221325453607	0.00732571210215	0.00142982721416	0.000711489322371	0.000438229804401	0.00158788565585
o	0.00427451640254	0.00974808025677	0.0424561665672	0.169735179599	0.431515880506	0.206515170354	0.0941549378464	0.0268294221209	0.00978115969838	0.00135902465839	0.000845731472057	0.00040666843302	0.00237809299139
r	0.00410408278986	0.00927477733092	0.0248415117731	0.144897958753	0.399347174835	0.263238901851	0.0864234629888	0.0483275029803	0.0115872573813	0.00244854927046	0.00133326477955	0.00046922308916	0.0037063578283
à	0.0027311308183	0.00816747947431	0.016455515979	0.104888680981	0.378829670945	0.298985077017	0.0886393397963	0.0792657201134	0.0132017034136	0.00371878840749	0.00147799082085	0.00043863552646	0.00320029881339
s	0.00205900075795	0.0052401882661	0.0107616275637	0.0892351144303	0.333326923382	0.348068459006	0.0780212894654	0.109255728738	0.0136442594765	0.0038176537625	0.00175376531262	0.000681255083267	0.00413475924026
