 	l'	anno	che	viene	devo	mangiare	molti	dolci	</S>
o	0.63294946753	0.25147826185	0.0133793452917	0.00640146642252	0.00574353445165	0.0134438552374	0.00308435315469	0.0562048444769	0.0173148827616
c	0.31483812631	0.54623956795	0.0174352347506	0.0143847176978	0.00627396037655	0.0151289114663	0.00331795410345	0.0592727119602	0.0231088264757
h	0.186128497217	0.675388961983	0.0361221532542	0.0276230892802	0.00455813358458	0.018875039285	0.00202386067859	0.035308473109	0.0139718042599
r	0.190273754339	0.621639731994	0.0695131732021	0.0282299321241	0.00583640892059	0.0336486683456	0.00678238932271	0.0389269673316	0.00514898177386
ò	0.151386244926	0.629129075331	0.125441788787	0.0170842859187	0.0069177644262	0.0301499430218	0.00840409819964	0.0296427617138	0.00184403605522
n	0.121507139789	0.59523439711	0.181284200462	0.0171197200396	0.00739596197607	0.0213261332639	0.00387932534275	0.0406540607646	0.0115990486917
o	0.0987399449497	0.404036441437	0.342543105487	0.0514421460465	0.0177545642987	0.0191534667173	0.00576997649732	0.0453179923376	0.0152423321229
k	0.0574824140166	0.245478191546	0.512654125829	0.0955997315488	0.0263242953529	0.0195268414151	0.00690496029551	0.0284049616868	0.0076244551621
a	0.0396743869302	0.163344451049	0.539330683943	0.174804411583	0.0312451822043	0.0185949437717	0.0048613106877	0.0220576409984	0.00608699311833
m	0.0316078295747	0.083595858683	0.554473916648	0.242177395394	0.0469348952214	0.0181153768172	0.0062935000291	0.0110290260902	0.00577223067174
b	0.0479842248822	0.0684127788143	0.494094621416	0.240880029331	0.0679410022738	0.0620676660057	0.0066384895337	0.00736656341707	0.00461466208411
è	0.0550037585641	0.0502797289314	0.416752253672	0.273882975644	0.106862377491	0.0821733197552	0.0063653691859	0.00575323759351	0.0029269900253
n	0.0246148153007	0.0347352334971	0.388928495691	0.293564867748	0.165515527297	0.0626960311717	0.0179960747833	0.00699222243432	0.0049567208095
n	0.0783206959736	0.0384342458924	0.331607867364	0.244002529449	0.172752978432	0.0851584921572	0.0239464575844	0.013615591918	0.0121611320909
i	0.103339338709	0.0339682086508	0.227214861821	0.210551276483	0.225121375744	0.143663456652	0.0264625279581	0.0164096753231	0.0132692766147
è	0.0461022074343	0.0185348673636	0.108111085352	0.218230003694	0.343412009248	0.204271627124	0.0424009880727	0.0114215820677	0.00751562007957
n	0.0184343653296	0.0108872804188	0.0469840851927	0.206892774431	0.374281399749	0.229909925081	0.0897267559776	0.0145020554845	0.00838135063652
a	0.014891768542	0.00994405415984	0.0272754768966	0.13366619143	0.31183781925	0.33722335036	0.131443229993	0.0211127551508	0.0126053555748
f	0.0133070863693	0.00765977993795	0.0183424056859	0.0845774367167	0.221575361083	0.440797381453	0.167626000331	0.0252650652396	0.0208494846596
à	0.00855976343843	0.00461719221932	0.0131287125093	0.0614912320522	0.169379086228	0.445758760484	0.242992293444	0.0317379185465	0.0223350348812
o	0.0154232650975	0.00612276960577	0.0062344080631	0.0268910607041	0.128331872689	0.356685524095	0.382876735815	0.0540345243822	0.0233998493911
p	0.0150015623885	0.00615306016526	0.00496082771063	0.017484597336	0.084350105283	0.224450610365	0.514902118605	0.0881579656607	0.0445391843417
o	0.00642693469317	0.00364992847355	0.00594067563681	0.0118988238707	0.0626496247343	0.157494807255	0.580836170202	0.113998969087	0.0571040762252
d	0.00340505560539	0.00330338674778	0.00645252871194	0.0080104383449	0.0407084261501	0.102874644085	0.586099077401	0.170341087496	0.0788053411351
d	0.00355543328479	0.00346344928179	0.00707471250485	0.0054730598523	0.0189855971174	0.089496018933	0.4542356538	0.268980469825	0.148735594538
h	0.00829666545116	0.00668014890776	0.0112751703958	0.0034340532661	0.0111422383325	0.0796364734823	0.343815217933	0.340049495475	0.195670529459
à	0.0221615871796	0.015143752604	0.0116839421499	0.00908699460403	0.0111149569422	0.0617554802074	0.327101414644	0.329073756698	0.212878101966
g	0.0231948031545	0.0148268811488	0.00617963520443	0.010638397207	0.0101237301707	0.0578011772625	0.305835136881	0.348380938699	0.223019284402
l	0.0277987398762	0.0156109353876	0.00903911257544	0.00687193579633	0.00669078790757	0.0591158518155	0.259151623427	0.390164288766	0.225556719327
i	0.0301948605408	0.0174288185064	0.0113269787933	0.00620962680378	0.00955282212252	0.0541110686198	0.209075802342	0.318888579189	0.343211441956
c	0.0131968302456	0.00937853153979	0.00671954375199	0.00367749953559	0.00869173981797	0.0327290819419	0.195366486094	0.361612467463	0.368627813585
è	0.0075898373232	0.00927003437386	0.00764370719702	0.0169640803719	0.0294649219622	0.0320960084253	0.189908752878	0.465092605154	0.241970048242
a	0.00799636309107	0.0164561519209	0.0110605093955	0.0251949493026	0.0439944270871	0.0315866597531	0.168046971499	0.396214679451	0.299449284661
</S>	0.00823355156853	0.0204161183905	0.0119209028312	0.0187877768556	0.0344574886354	0.0230495842795	0.15085792516	0.332445443325	0.39983120633
