 	lo	sentii	che	arrivò	</S>
t	0.928606796	0.032303598185	0.00894655564265	0.0158261117161	0.0143169516704
o	0.685242992107	0.241794190955	0.0335311891813	0.024546447176	0.014885205362
n	0.396047190176	0.389069374052	0.12068839078	0.0685964530107	0.0255986174026
ì	0.230166603025	0.460583714417	0.19929056866	0.0810093665382	0.0289497712529
k	0.158505195702	0.583736272512	0.192922059847	0.0442637251101	0.0205727678454
u	0.155938397034	0.503361251877	0.272065691709	0.0489110706167	0.0197235946935
s	0.092671990258	0.356236797504	0.39991138141	0.132072497226	0.0191073305314
a	0.0426056067447	0.223840713313	0.456810146977	0.221849554275	0.0548939734374
k	0.0264839671862	0.115942083898	0.450306927192	0.300664880758	0.106602129212
a	0.0200566003614	0.063604548066	0.345748769224	0.433228595586	0.137361473871
ì	0.016048772098	0.037072817278	0.197518219469	0.628153097195	0.12120707809
r	0.00921485960087	0.019207991634	0.0894964677243	0.759074822398	0.123005853597
t	0.00733032254429	0.0128164172413	0.0494709458081	0.781910095466	0.148472223766
e	0.0082760315581	0.0124600842318	0.0343234381427	0.684804279155	0.260136163522
</S>	0.00821192193405	0.0136290405859	0.0316179232314	0.572840807577	0.373700299761
