 	mia	figlia	vuole	andare	</S>
i	0.819357569	0.139875885365	0.0103978591491	0.01537256914	0.0149961057992
k	0.688642185267	0.222360192368	0.0448744136117	0.0214846297873	0.0226385682712
i	0.504792250729	0.393703676656	0.0638582267326	0.0195865135227	0.0180593335439
a	0.26218755861	0.659308416219	0.0458159698329	0.0185956987668	0.0140923617022
t	0.146957826903	0.73265143674	0.0807571541976	0.0205668566526	0.0190667340555
è	0.0980189163237	0.765578606247	0.103780754206	0.0173609656068	0.0152607720823
r	0.0544418900039	0.828143276082	0.0907077369087	0.0175014074369	0.00920571738887
a	0.0662400543813	0.690147684694	0.192737836703	0.0335986644776	0.0172758025606
m	0.0866460351938	0.502804837565	0.321757520434	0.0603480384859	0.0284435904535
u	0.0731176099819	0.360481145988	0.455753058811	0.0736712124953	0.0369769645578
i	0.0384302884246	0.199359634533	0.602209825604	0.114530916832	0.0454693227659
t	0.0198326266095	0.089723286235	0.654707439201	0.180886907144	0.0548497303286
è	0.0119862715165	0.0401568962717	0.647111313067	0.252063140581	0.0486823789229
l	0.0098031189915	0.0227325273039	0.547460005689	0.37352446086	0.0464798982476
i	0.0142328626018	0.026268059148	0.33852133823	0.505799728953	0.115178026776
n	0.0256978378197	0.0243799992207	0.16708585561	0.611000872318	0.171835443425
a	0.0292696782816	0.0259085354592	0.09743695639	0.676164616773	0.171220209308
p	0.0216605787706	0.0244266598016	0.0501625614433	0.727552244924	0.176197948303
à	0.0168558788169	0.0136999941307	0.0360326210811	0.775851906975	0.157559596701
i	0.0210128464022	0.0250675988796	0.037857791027	0.626583249925	0.289478510167
</S>	0.0267205068711	0.0363772589898	0.0326733456035	0.461216696363	0.443012178084
