 	non	ho	dove	d'	andare	</S>
e	0.7220128695	0.1431618347	0.043881236957	0.00451647812316	0.00987343130542	0.0765541473019
n	0.466754788767	0.2961557729	0.0941049414123	0.00798526932105	0.0350458655827	0.0999533569755
è	0.212530142762	0.4630199743	0.212122935764	0.0130823918204	0.0397751818214	0.0594693848493
c	0.0934329980673	0.500782108433	0.264803758321	0.0143539050735	0.0643390406281	0.0622881876167
h	0.042188345213	0.409390854811	0.403819908974	0.0106396084312	0.0725027386727	0.0614585315715
o	0.0171868348195	0.223593663937	0.673063388791	0.0342369727971	0.0299539248542	0.0219652149908
p	0.0221569967158	0.0929300610123	0.745959457597	0.065116376899	0.0619703921314	0.0118667197716
u	0.0275497633899	0.0489315358041	0.489910807332	0.299255032866	0.107410003964	0.0269428784625
è	0.0146590293033	0.0245030079547	0.177967542497	0.571306641622	0.168919909121	0.0426439010342
n	0.00987311160677	0.0138675406466	0.069058814359	0.586880663301	0.26933768184	0.0509822063381
a	0.0127025175013	0.0155483617613	0.040844602919	0.42956374346	0.417143164013	0.0841976262927
p	0.0119989897184	0.0148708300304	0.0256593663337	0.21556783714	0.582751908671	0.149151083164
à	0.012830520554	0.0112174013619	0.0134584718501	0.118187156333	0.698752941557	0.145553526388
o	0.0306861066879	0.0199412316064	0.0188628013033	0.090268495503	0.624457652852	0.215783731929
</S>	0.0454342077639	0.0296894649632	0.0259915743253	0.0753351154895	0.493870610926	0.329679035964
