 	i	bambini	piccoli	a	volte	si	vestono	pure	da	soli	</S>
a	0.6125321236	0.35315104947	0.009417484404	0.00324280428368	0.00374020770708	0.00499879196508	0.00373192330615	0.000317131343718	0.00116148538156	0.00501029480632	0.0026966705842
p	0.431349652273	0.51234132709	0.0277684888927	0.00466106012896	0.00459200036277	0.00544618911691	0.00389594267519	0.000311547168457	0.00116383155717	0.00513508947841	0.00333485719995
e	0.329971511064	0.619358685297	0.0343543325509	0.00337552527192	0.00338555195792	0.00248721280137	0.00178777237116	0.000146810710075	0.00059880698159	0.00193675539202	0.00259701277524
t	0.254072656036	0.690235274432	0.0405689526103	0.00364653002357	0.00514548073337	0.00173616768239	0.0010633334489	0.000121982692408	0.000422004085646	0.00092241557981	0.00206516678697
à	0.183347861987	0.711439620811	0.0912058483634	0.00526451143519	0.00490206504528	0.00139021985425	0.000548796152088	9.34013366786e-05	0.000190306908386	0.000536615726138	0.00108073236478
c	0.103614339822	0.718360962937	0.121576502054	0.00702496060506	0.00307096221285	0.0037392757638	0.000742693710378	0.000117057285174	0.000186994485599	0.00558208871475	0.0359841630397
i	0.0972678129673	0.526910654979	0.285922175018	0.0233979458057	0.00431466995562	0.00553861265593	0.00115327416817	0.000274434791839	0.000265405689274	0.0073010241589	0.0476539949821
a	0.0822526524624	0.25431780746	0.522956528739	0.0723030164819	0.0216243255352	0.0148650087933	0.00548530372606	0.00223642694015	0.00110603755817	0.00323427461502	0.0196186125895
k	0.0365346823328	0.120095173964	0.614191844913	0.128844670827	0.0421540170784	0.0275863017978	0.0102213648212	0.00303434093958	0.00146745584606	0.00379528053822	0.0120748543076
è	0.0244015210904	0.0659859898987	0.658111419638	0.160889852676	0.0456521156861	0.0242329730213	0.00809917905055	0.00197563648405	0.00101772769917	0.00340157464793	0.00623201555353
c	0.0539217993226	0.0588894532662	0.556386218546	0.226292834825	0.0510154685887	0.0204089791824	0.00795934991434	0.00262912773981	0.00097136107817	0.00384352149209	0.0176818956098
c	0.0982652207192	0.0699633656734	0.359719734449	0.244872287742	0.118156956443	0.0402223417008	0.0181525396266	0.00907472140254	0.00435605644945	0.009599681483	0.0276170878751
i	0.0995755977057	0.0562158892245	0.227400144416	0.263132771181	0.185616750428	0.100191500474	0.0213648035107	0.0136724419379	0.00707975623038	0.00998179608847	0.0157685293675
a	0.0634868597112	0.0324606412675	0.128240303939	0.290061796794	0.245780498009	0.166754206758	0.0236714693469	0.015913732343	0.0106592588933	0.00622107786502	0.0167501556732
f	0.0285011596985	0.0199151016448	0.0775362698463	0.233674711665	0.329447003336	0.190049679519	0.0565399725823	0.0178055322755	0.011173000081	0.0146944435513	0.0206631501133
o	0.0146457159594	0.0115532741186	0.0549478774488	0.179946896488	0.399474833952	0.225831944506	0.0605679325274	0.0164962029958	0.00627475501787	0.0165522026615	0.013708364592
r	0.00783568568453	0.0083536370638	0.0319771289163	0.142319824003	0.396039660024	0.259502162835	0.0974970231091	0.0263351494626	0.00576746231416	0.0118551902913	0.0125170497878
à	0.00386537556644	0.00632408808553	0.0170710551921	0.102778738174	0.377013010008	0.294896263612	0.129924811636	0.0398728824475	0.00712441323872	0.0116344491289	0.0094948914809
e	0.00310949308348	0.00435801854718	0.00851489994737	0.054226795878	0.382910435514	0.336377179871	0.115570532945	0.0726612441292	0.00750823325957	0.00987292462493	0.00489023806234
