 	se	aveva	vestito	la	figlia	l'	avessi	portato	alla	chiesa	</S>
a	0.5892112766	0.3249367146	0.00965227994	0.0028229854733	0.00174180893542	0.000564108217687	0.00118174309078	0.000964717808644	0.00180886486421	0.00257889034473	0.0645365872946
n	0.283408168273	0.5918435662	0.0440566061067	0.00575366816177	0.00190244881205	0.000547160623869	0.00100481774596	0.000762680741521	0.00179038426033	0.00355769695364	0.0653727778815
ì	0.100916859784	0.793756164733	0.0623127057222	0.00972291552192	0.00157043199308	0.00054524228939	0.00065981813522	0.000549766086584	0.00128992355451	0.00492529065945	0.0237508595476
c	0.0738144010213	0.766003814778	0.0931609182407	0.0242346448953	0.00343366011876	0.0116475267308	0.00679080453704	0.000579322277218	0.00100019788941	0.0101948899551	0.00913982677326
h	0.0893012099404	0.595875622793	0.211094909014	0.0540612965318	0.00504896024145	0.0166405304459	0.0110671751962	0.000730420778564	0.00160850183137	0.0111139218152	0.00345747606136
e	0.0583596547101	0.399317194918	0.422530633805	0.0838145617706	0.00923362388235	0.00782897850315	0.00695902070847	0.000914136536726	0.00208246478038	0.00765161274106	0.00130812870151
n	0.025970780284	0.219222869626	0.564725694335	0.140187651324	0.0119314330961	0.00447813891378	0.00431640831909	0.00228127027133	0.00126616277261	0.0250194433579	0.000600162630866
d	0.033987485392	0.120558528289	0.520309502778	0.227544662241	0.0267254552074	0.0174931390409	0.0130951216431	0.00301118151975	0.00345133508729	0.032977931617	0.000845682069209
ì	0.0330104315307	0.059974186339	0.428720129193	0.350286718747	0.0651476495691	0.0241924135036	0.0153114300624	0.00190239292991	0.00432354569598	0.0163476123772	0.00078349925399
s	0.0222383731636	0.029646022149	0.382014178198	0.440628678916	0.0829953741897	0.0170519408305	0.00684929937213	0.00235512022863	0.00313461190867	0.0121582097579	0.00092818159506
o	0.0223562155801	0.0190429329253	0.268008548599	0.505565004305	0.13774938073	0.0229541533062	0.00547990235338	0.00308967475154	0.00328830332596	0.0113677391539	0.00109813820938
n	0.0147553652256	0.0148358516107	0.138080422133	0.577861318768	0.185685106043	0.0247720278087	0.00886173053513	0.00740722090518	0.00230535282272	0.0245854408368	0.000850164032727
t	0.0108209652065	0.0094389492009	0.082035175211	0.540802167589	0.232863189748	0.0407915376429	0.026340183525	0.00935129837106	0.00668866295891	0.0394079954889	0.00145985707969
a	0.00884026808597	0.0064102606303	0.0339502864237	0.437042044816	0.366132498116	0.0739539220143	0.029575937847	0.00523656744665	0.0092872606048	0.028209595376	0.00136134140323
i	0.0103181504125	0.00682721848277	0.0155690270279	0.299314023225	0.485908531372	0.117345099938	0.0281349254757	0.00819667424785	0.0105671111174	0.0153196154525	0.00249960844518
k	0.0155005676048	0.00752384552759	0.0090630609093	0.173718122675	0.545818113124	0.136061711979	0.0509009007932	0.0290260875593	0.0102187967665	0.0165005779972	0.00566819727852
i	0.0395159005053	0.00823533103586	0.00595567969243	0.111020158532	0.555632329041	0.15481679486	0.0636058669577	0.0333901867064	0.00515689085477	0.0169194447868	0.00575141789905
a	0.0440631633068	0.00697478775195	0.00297268926681	0.0592311177907	0.524517582747	0.218063930153	0.0777819312592	0.0332959082395	0.0128552809476	0.014996034379	0.00524757716203
t	0.0205408670905	0.00403738200952	0.002106746214	0.0266042095702	0.479630240649	0.221644823651	0.125451683886	0.0796137994772	0.0162045106153	0.0156727127216	0.00849302528566
è	0.0239728081051	0.00287518183471	0.00179529505267	0.0148895528561	0.425578644883	0.20079326755	0.199823555449	0.100385699419	0.00927734927777	0.0127643651229	0.00784428238016
r	0.0225032756935	0.0030142068453	0.00151021907182	0.0136416083447	0.417716072294	0.204177180917	0.205931088916	0.1098782272	0.00661283720259	0.00893047737003	0.006084807392
a	0.0085871253663	0.0050168069095	0.00213076135947	0.0136564165682	0.334801676165	0.244852160306	0.215110267672	0.134332407933	0.0217974177875	0.0122626387433	0.00745232748261
i	0.00756654814943	0.00579936154183	0.00225182074756	0.0076414018334	0.156646813522	0.222006343302	0.306539372557	0.208705763378	0.0474114024625	0.0234356827098	0.0119954877651
n	0.00886895567501	0.00484147162357	0.00324619268929	0.0039782962418	0.0695047679407	0.126547247187	0.336621865386	0.349612441793	0.0475835396875	0.0258909050566	0.023304309348
ì	0.0074189257102	0.00401563362282	0.003412231227	0.0028952613002	0.0367987787669	0.0763186518823	0.391184061462	0.385152921931	0.0473353224958	0.0206817183655	0.0247865022367
c	0.00688240070119	0.00556287473761	0.00308039906765	0.004313381099	0.0259654992756	0.0583468229008	0.386858015287	0.42107567331	0.0523489749653	0.0165275995085	0.0190383830876
h	0.0055902514373	0.0057180951802	0.0027620262002	0.00456976563567	0.0276952310252	0.0599892418069	0.311982528762	0.477329862103	0.0585394548551	0.0208381075098	0.0249854537568
a	0.00317789523888	0.0026585021804	0.00129079375498	0.00271605967256	0.0226355022351	0.0419163295823	0.238251871587	0.475226040034	0.152875885752	0.0283017104903	0.0309494207379
