 	il	dito	si	gonfiò	</S>
o	0.735680396	0.23313818142	0.0112508978734	0.0123338846011	0.00759662023592
d	0.507536862267	0.450674123807	0.0187924840138	0.0139706409557	0.00902587925851
à	0.372974852022	0.558107505269	0.0482167464046	0.0146366321506	0.0060642599393
t	0.267698187074	0.591662678423	0.104578012235	0.0162377859615	0.0198233347149
t	0.143882726358	0.567073578408	0.179940246832	0.0229650802267	0.0861383648043
i	0.0858554373673	0.507519324403	0.277071022164	0.0308302506304	0.0987239595088
l	0.0517651258751	0.477095087468	0.346585158055	0.0605001673968	0.0640544449429
o	0.0443954150277	0.317046451423	0.435993413752	0.139861910652	0.0627027972943
è	0.0415386684612	0.177953108141	0.447371613917	0.275921769017	0.0572148371981
p	0.0197282004014	0.119468553987	0.363890498639	0.419159804339	0.0777529435994
r	0.0237236956808	0.055911171191	0.29745450168	0.50250678678	0.1204038539
i	0.0306006065763	0.0314624816343	0.234043138667	0.523790819593	0.1801029546
m	0.0197772380316	0.0167702608554	0.162832734642	0.581657129198	0.218962644933
m	0.0129741950857	0.0109633999887	0.134203539655	0.592934184399	0.248924700978
è	0.020631663627	0.0189332081165	0.16545497538	0.449490314133	0.345489850793
n	0.0288882130629	0.0219629030875	0.1326674887	0.409100774044	0.407380619864
o	0.0395460315928	0.0174664514725	0.08349437752	0.334391126281	0.525101997355
</S>	0.0480699275734	0.0205751480462	0.07562868608	0.20666494854	0.649061268677
