 	lo	ho	finito	di	fare	</S>
t	0.899152416	0.0574929013	0.0108226367853	0.00408534344513	0.0135940540041	0.0148526444399
o	0.670942551867	0.1758799021	0.0972783364798	0.0213358890501	0.0170394221645	0.0175238990406
s	0.361651728456	0.3526847137	0.210181996493	0.027644708484	0.0140211634686	0.0338157052339
p	0.194237026919	0.4211533545	0.301597958831	0.0242439192953	0.0207567410949	0.0380110151852
ì	0.10712741114	0.345737824167	0.48809668841	0.0251713817158	0.018601933517	0.0152647620228
c	0.0494467101933	0.249254793089	0.628753798803	0.0375245212333	0.0133161738937	0.0217039890016
c	0.0986315476444	0.161285475863	0.586283534934	0.0820059193791	0.0391526261712	0.032640863464
e	0.157449910867	0.095444003741	0.555451504978	0.123244439566	0.0455659299371	0.022844188258
t	0.101770674528	0.058081452887	0.615920928326	0.180751705013	0.028681061939	0.0147941758327
s	0.0582515091093	0.025673455485	0.571703350109	0.268598201762	0.0431031439463	0.0326703424953
a	0.0622455752751	0.0259990755577	0.36544124577	0.433706629121	0.0496582015488	0.0629492707695
a	0.0511054882504	0.0495097456792	0.180123875523	0.552831557307	0.0875274699496	0.0789018596052
t	0.0283825863835	0.0496854982054	0.126814769721	0.486104482836	0.198601326917	0.11041132695
s	0.0131651154432	0.0308905541738	0.127629884975	0.355261210012	0.322460219639	0.150593013277
è	0.0115076167231	0.0331648948949	0.12447093752	0.280720328137	0.353210674746	0.196925551319
k	0.00900450094023	0.031937807555	0.0960551014533	0.262601168846	0.379473879782	0.220927540373
à	0.0163708460866	0.0401516793597	0.0827830592824	0.188279433815	0.441684960994	0.230730015724
m	0.0185452022145	0.0401637476632	0.0665874357868	0.109354460405	0.511540207398	0.253808944908
i	0.0254961287125	0.0391250370557	0.0451560271683	0.075534370835	0.452580858799	0.362107589036
</S>	0.0408881722902	0.0535389009579	0.0514711383912	0.0556294110675	0.3309845589	0.467487832418
