 	non	ho	cosa	a	fare	</S>
e	0.72867148175	0.1082051291	0.0536364584983	0.00291803283902	0.0259399048211	0.0806290092111
n	0.469095860417	0.2412295495	0.0568019365394	0.00740443062967	0.109778375604	0.115689871592
è	0.206470749539	0.367981965167	0.18456381556	0.0148180290086	0.137796176065	0.0883692789939
c	0.0902614032863	0.399300905756	0.254108606987	0.0228974585015	0.150952808315	0.0824788147685
h	0.0414194282116	0.342815755159	0.379818224129	0.0235245418392	0.1442429398	0.0681791147444
o	0.0178831048973	0.185945941046	0.59603258771	0.101090571373	0.0671733342553	0.0318744743591
t	0.0187793022386	0.0794090248953	0.498972954503	0.205090421744	0.157292290332	0.040456024013
i	0.0258018502083	0.0529015569024	0.268892619634	0.323180247201	0.235081436357	0.0941422994577
k	0.0193549332761	0.0442573432981	0.105233299725	0.36221999578	0.293188428986	0.175746011286
à	0.039497569182	0.036871781822	0.0420100592977	0.270296232907	0.444788590329	0.166535761895
i	0.060920447584	0.070423863514	0.0223225350164	0.168937502776	0.42709474751	0.250300878898
</S>	0.055617199342	0.096040425963	0.0194434722699	0.103006324698	0.341320915855	0.384571641149
