 	quando	venne	Giovanni	Anna	aveva	già	dormito	</S>
m	0.7842479497	0.066294813368	0.137609886166	0.000824235051017	0.00138834172368	0.00124351916867	0.0030723783882	0.0053188940664
ò	0.7132642717	0.128658955989	0.145215219996	0.000953293304866	0.00171996651324	0.00140350250346	0.00308470655133	0.00570009495293
t	0.664514143233	0.22997109173	0.0893544801696	0.00349265117395	0.00192747473582	0.00152890602339	0.00134074185204	0.00787050047207
t	0.509677207744	0.353564927577	0.0709540196365	0.0193878296065	0.00706461307784	0.0205811421823	0.00767090446111	0.0110993383174
i	0.328464430495	0.514846741059	0.0716053909655	0.0319633662023	0.00863026749865	0.0269890423554	0.0098240080511	0.0076767538822
ì	0.149932444765	0.718558696353	0.0873946689885	0.0220696193371	0.00394646152882	0.0101878446762	0.00375708627416	0.00415320053534
r	0.0705774979217	0.762804777451	0.118827014929	0.0271435020617	0.00419938004854	0.00685778269443	0.00251984088037	0.00707021964151
t	0.0683054426786	0.689560829817	0.135101197643	0.0459492008046	0.00968829160451	0.0269966245898	0.0105763064288	0.0138221151626
e	0.0530606360662	0.621125362606	0.214068628614	0.0458620059015	0.0104276853516	0.0316539236412	0.0124300093706	0.0113717508091
o	0.0228460203507	0.475997702402	0.436359344871	0.0337675026832	0.006334223827	0.0136012969874	0.00471116935445	0.00638273222716
G	0.0104388759816	0.342892961667	0.552636632957	0.0755893226897	0.00498451372233	0.0067759777518	0.00220258734828	0.00447911641013
i	0.0160172304165	0.293676306956	0.577397546319	0.0990933215386	0.00586339653038	0.003512216864	0.00142956063589	0.00301040162393
o	0.0214837457808	0.208710523319	0.624779503773	0.11885377526	0.0107063322157	0.00867844868673	0.0013046788098	0.00548297294453
v	0.015635524709	0.108887287613	0.596870016924	0.24598582104	0.0150053478186	0.0102033416962	0.00131081327097	0.00610182539658
à	0.0203569817571	0.0668914895443	0.514644634708	0.363621078147	0.0208944429755	0.00793018576673	0.00145907154166	0.0042020890529
n	0.021529214487	0.0440160642081	0.454307160809	0.431475064649	0.0295194705785	0.00838968093691	0.00216472083336	0.00859859993814
n	0.0578031334427	0.032031666418	0.390492640443	0.400256935216	0.0333013327528	0.00872738578297	0.0114457911144	0.0659410994986
i	0.0820381140226	0.0396070521547	0.287633610281	0.371090988539	0.0810754955576	0.032153088585	0.0202687189618	0.0861329419952
e	0.0475100014369	0.0353187296096	0.215535410707	0.427734086846	0.141704227519	0.0782986488617	0.0149923330733	0.0389065748464
A	0.0241738565572	0.0143933010755	0.188318191309	0.475548847615	0.175359930506	0.0954519639539	0.0082169766119	0.0185369309113
n	0.0129646598105	0.0062483915641	0.153370810516	0.550950655205	0.166715909369	0.0713107961846	0.0090534096681	0.029385367937
n	0.0210412529374	0.00484228273096	0.111162620578	0.486032617068	0.16833842039	0.0540058384615	0.0303063710827	0.124270598346
a	0.0302591438838	0.00686734064191	0.0633558525586	0.304702247889	0.24956072733	0.152062054621	0.0403587270542	0.152833908369
g	0.0204211295582	0.00639940670997	0.0448487439229	0.287496753963	0.271660857443	0.245602312207	0.0403863638181	0.0831844414297
i	0.0122187547303	0.00455303082706	0.0365175677683	0.256446103421	0.228271302148	0.363794906069	0.043354361446	0.0548439780939
à	0.00750082798743	0.00348432221042	0.0175523096368	0.124602805807	0.242663783116	0.526370959623	0.0375204240553	0.0403045642886
ì	0.00380355372114	0.00262709923941	0.00816170916893	0.053163786969	0.272281564039	0.568588622808	0.0420513356184	0.0493223235562
c	0.00472649319114	0.00363014373247	0.00782813331364	0.0323046855363	0.26172023348	0.533040451936	0.0896927039395	0.0670571454721
h	0.0162510242278	0.0257194188069	0.0110165412452	0.0294074491548	0.230952299055	0.382874471512	0.202007427247	0.101771371544
e	0.0189329253759	0.0325808491013	0.00903461827173	0.0196415999543	0.16427979124	0.233867284971	0.315385034816	0.206277906615
p	0.0130774098807	0.0129633232751	0.0049536954364	0.0127414547088	0.0989410659267	0.164773428057	0.398409540939	0.294140076205
l	0.0119250074836	0.00711592054623	0.00410010259729	0.0163547531751	0.070260818092	0.115991826906	0.479228234313	0.295023311922
ò	0.00828199346985	0.00640943988728	0.00349805770376	0.0132163237545	0.0421784936424	0.0887035755887	0.578631691438	0.259080399361
s	0.00544965759595	0.00614736864443	0.00317949133592	0.0065668461235	0.0244662188015	0.0938991012962	0.618897938479	0.24139337052
o	0.00646575168198	0.00617039539148	0.00427130575131	0.0059971499345	0.0283657504725	0.0989781753987	0.52126201416	0.328489457373
n	0.0164639970944	0.00672009229452	0.00509307063137	0.00525237059417	0.0232417503675	0.0695994982262	0.487761568053	0.385867650458
t	0.0205943444534	0.00547231865077	0.00359412445859	0.0035215897857	0.0107699319858	0.0421340598087	0.576284048684	0.337629583486
a	0.0140602294107	0.00661274964882	0.00271659752806	0.00351046410821	0.0121263052819	0.0326614279696	0.517051265961	0.411260962495
</S>	0.0112092046323	0.00931731306941	0.00300172196103	0.00373876282211	0.017011585441	0.0318680874748	0.416394605581	0.507458719247
