 	vestita	la	figlia	l'	avevo	portata	alla	chiesa	</S>
n	0.874959128	0.09408175688	0.0137138489027	0.00493473964147	0.00376403201115	0.00099146096015	0.000239576010084	0.0010015139014	0.0063139873509
d	0.77931835	0.17351066288	0.0246574837216	0.00702400798242	0.00418534173942	0.00147681647028	0.000698359187084	0.0027611811535	0.00636781925389
ì	0.634534682333	0.319624586027	0.0304008339299	0.00475812182934	0.00238365012991	0.00142531762931	0.000825933608082	0.00380870783146	0.00223819281028
s	0.496555968444	0.445946864676	0.032839284946	0.00280187804655	0.00177425521954	0.0014378542355	0.000774256538465	0.0167953346634	0.00107434139032
o	0.325082769815	0.568512265559	0.075181877482	0.00399389334602	0.00287736862725	0.00130248871357	0.00113548263811	0.0211812698892	0.000732622823193
n	0.150257456498	0.72247272252	0.0981424669473	0.00591834130534	0.00484274012535	0.00225690078226	0.00093980652851	0.0146579153716	0.000511686684176
t	0.0966165327593	0.75615352484	0.0992911197158	0.0144728359998	0.00535540678592	0.00305692922375	0.0016678976933	0.022730996221	0.000654787664813
a	0.0603832572004	0.65638260028	0.231864152372	0.0223505944199	0.00420811223744	0.00206899745644	0.00209244093718	0.0201445327278	0.000505329792343
t	0.0290395948855	0.539590386093	0.346397423724	0.0373443409533	0.0125669148765	0.00941733974187	0.0011276014264	0.0228037517427	0.00171264562741
i	0.0148448520238	0.375258152698	0.496152621241	0.0554634439311	0.0175885966055	0.0121707565352	0.000997332025677	0.0239834208563	0.00354081160234
k	0.00982428975593	0.201025937366	0.634323404414	0.0831362473104	0.0244240031552	0.0208138572477	0.00101253052717	0.0220239342878	0.00341577580209
i	0.00628196954998	0.115980304989	0.674668987471	0.126284752437	0.0291828215984	0.0235686555572	0.000841931735743	0.0208473340138	0.00234323134835
a	0.00650917710399	0.0534273322763	0.649708421157	0.205682594546	0.0452617534461	0.0196047622004	0.00179317785767	0.0164593583487	0.00155341166345
t	0.005344129602	0.0270075094314	0.543912699719	0.243269644249	0.109381209682	0.0398817494801	0.00240230891096	0.0270231415407	0.00177760188049
è	0.00905215687987	0.0158103511498	0.475761577906	0.269315037483	0.161664205427	0.03936744302	0.00230970612899	0.0251232632823	0.00159626078978
r	0.00995977077782	0.0097102848366	0.464870976635	0.315008426494	0.151940920276	0.0311574310333	0.00229047380433	0.0125681718599	0.00249353346268
a	0.00578810417294	0.00831423965753	0.357394934878	0.369010494831	0.199481921092	0.0396784455111	0.00570999990811	0.0109071530526	0.00371470009603
t	0.00447752465988	0.00681289971904	0.200775649426	0.360151490277	0.287079548364	0.102611029704	0.0094459654627	0.0178908672062	0.0107550139274
i	0.00313122818719	0.00520761850021	0.126708280011	0.257483873759	0.407441041455	0.145756476768	0.0133596105029	0.0269962292514	0.0139156047627
n	0.00300976413423	0.00464669721978	0.064116435453	0.173610014786	0.514175155818	0.183103474456	0.0175914094696	0.0256271813851	0.0141198452631
ì	0.00446795065744	0.00392826396431	0.037837500691	0.0926591155953	0.592152133939	0.222259666485	0.0186561365099	0.014986862415	0.0130523750857
c	0.00711971523619	0.0053510722849	0.021125494933	0.0618530195051	0.564034187313	0.298986558162	0.02173066997	0.011192895125	0.0086063963049
h	0.0066210875646	0.00653951752217	0.020576121947	0.058184699175	0.409401865971	0.429557272721	0.04119769439	0.014681585665	0.0132401701833
a	0.00439607248656	0.00400929235112	0.016802821971	0.0383394007117	0.309733725924	0.473781516907	0.117029546863	0.020477122981	0.0154305259891
p	0.00259839997355	0.00273009705031	0.0126772796687	0.0215378968999	0.225340098375	0.521821452302	0.160614482221	0.0315484682877	0.0211318560897
