 	che	non	li	aspetiamo	</S>
n	0.871664821	0.03851273954	0.023368381833	0.0259277131322	0.0405263387787
a	0.653463187933	0.150025477447	0.115694830447	0.0363527909761	0.0444636836162
m	0.409342671578	0.238449156149	0.232515279082	0.0488170020067	0.0708758673207
i	0.237354374306	0.177329973696	0.412516621694	0.0841951079969	0.0886039176769
t	0.186952325242	0.151157649879	0.492259668565	0.099164622359	0.0704657364923
u	0.166527969054	0.115435935493	0.514693324855	0.13277325412	0.0705695206841
s	0.112252018181	0.0915225660977	0.489881835285	0.205285219973	0.101058368295
m	0.1095595657	0.0825855972726	0.424100955428	0.229654024858	0.154099853147
ì	0.0606351912473	0.0501074856642	0.446082187143	0.277287324819	0.165887808964
n	0.0771342678571	0.0365579155547	0.420183028381	0.32811457434	0.138010231941
o	0.094038366033	0.0541586017849	0.296346116927	0.390434200847	0.1650227328
m	0.0563188270403	0.0584599573616	0.131052800976	0.515489602282	0.238678809933
e	0.100140030528	0.0482832372932	0.0622880237253	0.459058758561	0.330229932044
</S>	0.159218033338	0.0599493037556	0.0363602111627	0.34563351598	0.398838920622
