 	mia	sorella	quest'	anno	che	viene	vuole	diventare	dottoressa	</S>
a	0.724814333	0.20119919675	0.0147963795334	0.00771700763838	0.00205975550344	0.00311533900324	0.00388601498495	0.0271529882154	0.00535236390224	0.00990663690814
d	0.50822945366	0.411242091303	0.0194515409285	0.00871177306679	0.00217103736254	0.00297330513573	0.00409709214843	0.0276246682652	0.005291248849	0.0102077820005
r	0.40733296728	0.535669913101	0.0244222531562	0.0109020834009	0.00114028878215	0.0019805863325	0.00202179956525	0.0107873088188	0.00184786134868	0.00389492543013
e	0.3009697318	0.645107776367	0.0327022814721	0.010320050941	0.000839581210457	0.00144342432755	0.00134423564025	0.00515836626158	0.000673302412301	0.00144123882239
f	0.184894961643	0.743959291456	0.0541407545907	0.00719817124233	0.00120612958572	0.00258816676278	0.00126488931908	0.00246653783497	0.000339945134018	0.00194115361589
f	0.183293488724	0.670171891885	0.105942837664	0.0253235355008	0.00305445610857	0.00398790152999	0.00293115368869	0.00272504685206	0.000337548499486	0.00223214721207
ì	0.139585929277	0.620002156028	0.192979772088	0.0325124178803	0.00408970938832	0.0026465126704	0.0036223411106	0.00341585777133	0.000232191976219	0.00091309953525
m	0.0715928359417	0.553818229076	0.312286028029	0.0351374261554	0.00975243694157	0.0031841315638	0.00397343981957	0.00371124646293	0.000756660531384	0.00578754470843
m	0.102121980954	0.472174030225	0.32271649281	0.0520460800005	0.0170606482585	0.00438776188693	0.00459898105852	0.00555785694211	0.0115503510091	0.00778580504836
u	0.099690376844	0.352349362608	0.376341243603	0.108117205667	0.0210154486795	0.00541394165098	0.00583030686017	0.0135089872107	0.0146328133082	0.00310030234077
f	0.05019458577	0.177959695909	0.524814007201	0.174994854222	0.0289357124758	0.0108638670303	0.00866703289606	0.0144169593934	0.00609037911652	0.00306290489782
ù	0.0290521805977	0.094232772163	0.577745423734	0.232942551074	0.0328112191253	0.0123349376368	0.00761130794095	0.00715611292256	0.00311003475079	0.00300344410023
