 	voglio	che	Maria	viene	domani	</S>
t	0.853487385	0.04765020047	0.087544489924	0.00288160884652	0.00275571410248	0.00568061200705
è	0.832090086333	0.0683963386233	0.0886352783893	0.00280172113964	0.00223684705379	0.00583971733255
l	0.795175252378	0.114185496808	0.0786726231998	0.0030742167057	0.00451868438836	0.00437371782957
o	0.516262352726	0.361747675603	0.10245999116	0.00858021548759	0.00641156578758	0.00453820590204
e	0.217623665565	0.428632847468	0.315812701453	0.0199388224779	0.012763935306	0.00522805542388
M	0.0845194375383	0.389376810756	0.441972300484	0.0450969964473	0.0306971001283	0.00833737935469
a	0.0481489789461	0.439079662652	0.371209446161	0.0562937364371	0.031241406495	0.0540267778699
r	0.038668561342	0.324573431084	0.41065675232	0.0744787403857	0.0452463662263	0.10637615795
ì	0.0682647777873	0.246395459095	0.39653582504	0.152386507302	0.0530336761108	0.0833837732467
a	0.0775661926224	0.166990026498	0.343619955013	0.295451030567	0.0656279056409	0.0507449178276
n	0.0362295471483	0.0753421894513	0.273952773671	0.362519176989	0.204116805814	0.0478395172092
a	0.028054097197	0.0883778110091	0.202371207757	0.339152853463	0.240897564871	0.101146457536
r	0.0246793579645	0.0877884835704	0.144397504488	0.300028830221	0.21182426369	0.231281547045
t	0.06653038743	0.102003794836	0.0766249634787	0.185037838934	0.24595880093	0.323844208148
i	0.102918429723	0.123497488558	0.0365410483852	0.110539971525	0.28133229001	0.345170769583
à	0.0576892769085	0.0656191753075	0.027865512462	0.114350597998	0.474252873603	0.260222557041
v	0.0199530350173	0.024801195079	0.0182075511609	0.0927744593453	0.722515263201	0.121748491327
v	0.00963569917601	0.0400258968867	0.0144853350392	0.0517514558318	0.688256641334	0.195844966176
r	0.0278901055672	0.13791130419	0.0216161448007	0.0253570580306	0.429110440511	0.358114931525
i	0.0886080923176	0.151015694271	0.0206975827583	0.0220412189769	0.246833113824	0.470804279108
</S>	0.130643664489	0.0930774059745	0.0150125354847	0.0278778304685	0.188737127692	0.544651420154
