 	voglio	che	Maria	venga	domani	</S>
i	0.949775615	0.03981697174	0.007838101647	0.00065865390036	0.00125751197014	0.0006531072071
t	0.807553928333	0.107869593767	0.0596689178157	0.0124497877116	0.00915192661968	0.00330583274517
è	0.674544481444	0.206602623856	0.0865456948852	0.0162074220557	0.0119961561636	0.00410362244303
l	0.583630897415	0.304821504952	0.0913296436951	0.00871330195323	0.00633768379727	0.00516696865652
o	0.352814705005	0.508550506317	0.114712472792	0.0115332148117	0.00585725692642	0.00653183388197
n	0.139411308475	0.598280860106	0.231571827824	0.0183268308639	0.00756354486347	0.00484559133279
a	0.0649141257783	0.513890280035	0.359711234541	0.0397012979613	0.010704974937	0.0110780639481
r	0.0405795995194	0.391841038212	0.401725997447	0.0937499915204	0.0315918068215	0.04051157525
t	0.0897699676931	0.270298051404	0.352987675949	0.12005654484	0.0836307025832	0.0832570727167
i	0.111886415911	0.228317569021	0.266941742116	0.204846439213	0.0960713047837	0.0919365303656
à	0.0484724628103	0.148278451622	0.243056715705	0.353807548404	0.143817716195	0.0625671075219
v	0.0179564341794	0.0650684976432	0.209516094468	0.318130692468	0.355909139665	0.0334191383606
v	0.0144589392024	0.0810958487456	0.135099503936	0.186018340889	0.487210363888	0.0961169952055
r	0.0542767925421	0.166790204625	0.0540272857787	0.13600061423	0.385052459456	0.203852637694
i	0.0745253649554	0.195825225222	0.0268946051729	0.145656509983	0.272647628712	0.284450665358
i	0.0433469129225	0.13375366056	0.0240070696236	0.144663232968	0.395860019637	0.258369118519
M	0.0185388265212	0.0677155877829	0.0235369812599	0.113419034189	0.526363702679	0.250425877573
a	0.0148499772207	0.0852710727803	0.0238484151633	0.12180038263	0.47431703936	0.279913116458
r	0.0156536847568	0.0990324827972	0.0399319223638	0.108522054737	0.438554737453	0.298305113506
ì	0.0691527037881	0.0922279714009	0.0360114952201	0.103897279106	0.406015647091	0.292694901522
a	0.122910004753	0.0771915373623	0.0202603621686	0.110949162109	0.422059237277	0.246629709707
</S>	0.119339762727	0.0440976694041	0.0183935286469	0.0874167082145	0.470978841099	0.259773507653
