 	l'	anno	che	viene	mia	sorella	sta	per	sta	per	studiare	medicina	</S>
t	0.80942847	0.11732745745	0.0039728383491	0.0525553624934	0.00267489778708	0.00175027980366	0.000980377415508	0.000965682491468	0.000672493410266	0.000757078593992	0.000493577476638	0.000516550590907	0.0079049182382
o	0.533496093427	0.332086709083	0.00895214472837	0.0544309403191	0.00435114265211	0.00275847938999	0.0191176558008	0.00348660291075	0.0168667141143	0.00539983790051	0.00279488435099	0.0059920682764	0.0102667230826
c	0.232593560622	0.605361149228	0.0202247430161	0.0538471284948	0.00549232815704	0.00293728429908	0.0250412170987	0.00415539798692	0.0220997028971	0.00665603637908	0.0035728919798	0.00810600487109	0.00991257416927
h	0.169068237461	0.664515694409	0.047280441912	0.0641357408361	0.00588359341901	0.00538864679129	0.00997302571133	0.0024204076896	0.00803155296404	0.0029978360393	0.00392272315758	0.00883722192799	0.00754488513738
r	0.198815626087	0.63012687547	0.0722913111107	0.039242734312	0.00500494112527	0.0075028295277	0.00739328051035	0.00198999731509	0.00417300919439	0.00193465611581	0.00916165147959	0.0196474547143	0.00271562681086
ò	0.158738940744	0.635407213157	0.13377015257	0.0215091562173	0.00444245582936	0.00703497375503	0.00612210586982	0.00158950353493	0.00274349415635	0.0011953051163	0.00864365967689	0.0178095593726	0.00099347431092
n	0.12191346823	0.596903646386	0.20070001659	0.0247353676058	0.0160083543658	0.00782637099288	0.00521187093194	0.00360882217447	0.00203542682481	0.00187701043879	0.00457921372138	0.00991646247434	0.00468396534723
o	0.0916967317643	0.414027848995	0.349789903263	0.0659749304686	0.0285675106553	0.0184625899283	0.00540248320711	0.00460545003636	0.00199654041355	0.00277139937563	0.00331578552903	0.00727508113388	0.00611374396201
k	0.0529564289891	0.239042294132	0.508905078421	0.12192098689	0.0313127922584	0.0257459657534	0.00390159958437	0.00253997539072	0.00128901470325	0.00190942320434	0.00233076545452	0.00528607220174	0.00285960911277
a	0.0435593331059	0.155484390244	0.52226089414	0.19257048523	0.0476675462195	0.0223133124111	0.00325183094212	0.00171009187758	0.00101963443038	0.00151552845038	0.00182273289987	0.00458765426978	0.00223658308063
m	0.0390831388315	0.0739458962147	0.51997086938	0.245201383343	0.0845154774065	0.024587692757	0.00415497244471	0.00148905667853	0.000943471004093	0.0013513257208	0.000978906483721	0.00197754731528	0.00180028903865
b	0.0398874707772	0.0516171915249	0.47660944046	0.248489814514	0.136680508869	0.032455631079	0.00708460163157	0.00193492703218	0.00122524752803	0.000741307831667	0.000889239648887	0.00136628888987	0.00101835045748
è	0.0413590232853	0.0368104432616	0.431311410153	0.263549503971	0.178986489423	0.034049268293	0.00796513941919	0.00226797891083	0.00127791029074	0.000552354278329	0.000591380728636	0.00077988266804	0.0004992184726
n	0.0208918111586	0.0272347131272	0.372683064718	0.298512391324	0.205294723341	0.061645986031	0.0077787051484	0.00235025060304	0.00105214747231	0.000553131208816	0.000475354802693	0.00063546186405	0.00089224994812
n	0.0614382634969	0.0285719277691	0.256677395339	0.268868909881	0.232981854847	0.125849229344	0.0121790180428	0.00471766109935	0.00311377907944	0.00264584095527	0.000577024963886	0.000739460556077	0.00163963346424
i	0.075470161568	0.021205644291	0.158926941793	0.1990228494	0.341769872016	0.167282254248	0.0196530450609	0.00673332382878	0.00380598529648	0.00366202650617	0.000555108976297	0.000527986520879	0.00138479413873
t	0.0301074058326	0.0113523459393	0.0999912607577	0.23390272236	0.427423344339	0.155482328083	0.025881151507	0.00561791356959	0.00246503316296	0.00198082352466	0.00105028467161	0.00312905352665	0.00161630997745
i	0.0128853486933	0.00624278293003	0.0702672654982	0.220447902147	0.47400807778	0.159179747961	0.0356333693423	0.0088855927692	0.00267248311139	0.00140638408352	0.00131447790926	0.00401410832823	0.00304243479691
n	0.00720802378803	0.00406153558732	0.0468486335477	0.173814251116	0.49043322886	0.197183962654	0.0575839279274	0.0113724106624	0.0034765920114	0.00128646206822	0.0010181868083	0.00219604803405	0.00351672758848
a	0.00561720158734	0.00329653580975	0.0347362720021	0.153324541792	0.419021383887	0.280868170885	0.0744867520158	0.0164604433608	0.00424681706847	0.00142894519706	0.000903233540327	0.00162257028975	0.00398714230514
d	0.00521708458778	0.00233806994592	0.0284665240136	0.123410918217	0.343952209962	0.350383476295	0.107648640339	0.0230466993469	0.00587212910082	0.00173661336641	0.00132295036067	0.00272743299101	0.00387725987427
r	0.00614785789236	0.00588035912994	0.0241816345784	0.101361820566	0.287546361054	0.317296357432	0.191074917646	0.0403710132623	0.0119016346603	0.00256216706214	0.00185356324496	0.00361342170683	0.00620889635252
e	0.00640642751935	0.00622369649681	0.0162009477549	0.0442534398507	0.217477497951	0.393877317811	0.225420866282	0.0601753321874	0.0152892587601	0.00450985676471	0.00177602116192	0.0020381258447	0.00635121156582
f	0.00285318698445	0.00260758213247	0.00847769111017	0.0527960863389	0.14254287185	0.460382856604	0.229938414494	0.0622283542958	0.0171431663067	0.00497811849224	0.00272386235151	0.00613578543923	0.00719202169995
f	0.0132156567132	0.0102583373659	0.0135205107197	0.062312355309	0.110907595283	0.356370380735	0.299136496165	0.0878457660319	0.0208720471489	0.00452675419741	0.00345248566917	0.00872954334588	0.00885207247292
ì	0.0168128280836	0.013080059347	0.0131693888686	0.029881124419	0.0765581182943	0.395295708778	0.305667855388	0.109690094744	0.0225881229563	0.0052959937018	0.00291242622099	0.00440941387293	0.00463886910066
m	0.00667793408577	0.00601700179033	0.0077487838962	0.0186255182837	0.0749305724981	0.445453387593	0.285470107796	0.104088983581	0.0291849714254	0.00766250216327	0.00271528881426	0.00484237638194	0.00658256911831
m	0.0227866066357	0.00785536948764	0.00936228715047	0.0150133237432	0.0783295913794	0.361776744931	0.353657779265	0.0855857830603	0.0367102869418	0.00784228204776	0.00266137494522	0.00565869498785	0.0127598623104
u	0.0296938874938	0.00850892996741	0.00749074773089	0.00731240957907	0.0449982951931	0.277364023977	0.383529714422	0.15591044762	0.0581859870473	0.00887168672259	0.00380973233687	0.00332117412448	0.0110029527071
è	0.0147994278406	0.00656697662914	0.0045127024763	0.00650463531076	0.0207014377444	0.210888427392	0.321402184741	0.275354306073	0.0939620092158	0.0196138240742	0.0147088211923	0.00477854378456	0.00620670019303
n	0.00852484192209	0.0057656437182	0.0070902725476	0.00977076938332	0.0127253618081	0.187237649397	0.290914132847	0.299112638691	0.106435565072	0.0327412156381	0.0210389222834	0.0108610699699	0.00778190332034
a	0.00802675581799	0.00416326139522	0.00901280627217	0.00842831079797	0.0118497842707	0.136244059639	0.225808978816	0.326461285364	0.155613961824	0.062761466026	0.0273697832911	0.0144569626406	0.00980256919878
è	0.00793286912773	0.0102230499951	0.00630764199172	0.00924655754019	0.00884468997757	0.0923593011597	0.112841727272	0.326073985121	0.234616657208	0.0913222088087	0.0755671558637	0.0150107124724	0.00965344426826
n	0.0068527984983	0.0120923080436	0.00510276768297	0.0109265787395	0.00527261071652	0.0816245203799	0.106779477024	0.272622984374	0.263023328203	0.110085936136	0.0902866650946	0.0243140317497	0.0110160031548
a	0.00997054586549	0.00669921085644	0.00746990306419	0.0067974124695	0.00623028320951	0.0681051154666	0.0977366947747	0.219222377658	0.261046088334	0.179757827712	0.0899094959715	0.0314205851899	0.0156344713889
s	0.00892367716247	0.00538351135809	0.00711051764947	0.00385437576098	0.0064418573236	0.0525436820144	0.0733557803582	0.181936265553	0.277027078378	0.214526968037	0.110869336591	0.0345559412033	0.023471007081
t	0.0054008370975	0.00496011633514	0.00713194722167	0.00194391813261	0.0043492676199	0.0307157325177	0.0766978172527	0.162692260051	0.337104126126	0.179157727746	0.107824479264	0.0374897446478	0.0445320138383
u	0.00343258886934	0.00359841082268	0.00695770664144	0.00137957725208	0.0041789635985	0.0265767123112	0.0531288867709	0.12877048455	0.337722532042	0.197063952249	0.150097764755	0.0340453449893	0.0530470802128
d	0.00251629138531	0.00302475681896	0.00446247020102	0.00131111778303	0.0043853824935	0.0219757046671	0.036676764777	0.118073515783	0.293130294014	0.212194360216	0.192611676852	0.0501786462164	0.0594590221643
i	0.0027205394345	0.00265813941472	0.00540278352306	0.00140330920421	0.00376463675857	0.0106003193607	0.0253073805923	0.101190831828	0.230759940138	0.263295228539	0.204914199151	0.0883532876455	0.0596293915881
è	0.0027955841415	0.00401011080304	0.00495259223698	0.00291731713007	0.00300070418919	0.0103151646952	0.0130080155374	0.0710123627293	0.165795658913	0.31673429418	0.24248902985	0.121961902615	0.0410072532627
t	0.00218201378385	0.00455811048881	0.00241424015231	0.00282838036713	0.00171250114433	0.00830157956707	0.0083381136258	0.0635122413298	0.186303754371	0.295883832727	0.242512072083	0.144979423005	0.0364737284456
s	0.00571067641007	0.0112282122465	0.00903280216052	0.00948871642852	0.00785934237234	0.00594112867876	0.0158254567646	0.0694235637433	0.20428112279	0.240656093109	0.209360656694	0.135968475602	0.0752237386665
i	0.00721809980879	0.0137094581679	0.0114072192159	0.0123258420812	0.0110180517851	0.00902392549959	0.0199036390722	0.0581126934171	0.167456594263	0.17935460037	0.216344753565	0.126815506667	0.167309587449
m	0.00401360806018	0.00691951808595	0.00654771566459	0.00502119974585	0.00621795860643	0.00804269038733	0.0126915251994	0.044959591455	0.147589991421	0.176511799657	0.223467621055	0.161815575422	0.196201174483
e	0.00280269590165	0.00486522733923	0.0062339889244	0.00291749898147	0.00469617464699	0.00499214784042	0.0081340788395	0.0363405362322	0.107616598507	0.158413413552	0.227719060552	0.232664737541	0.202603817654
d	0.00372451609422	0.00391989959888	0.00685994946358	0.00260833807658	0.00476565973104	0.00346769738551	0.00715660242713	0.0235015869273	0.059628212269	0.122220681517	0.235656282517	0.303562150514	0.222928412911
i	0.00401311000821	0.00359834257343	0.00620178915886	0.00288022567108	0.00434279575917	0.00266476982644	0.00623887490355	0.0174142208824	0.0418737743163	0.100582084506	0.214309926572	0.389017210171	0.20686287539
c	0.00421798473487	0.0040936564518	0.00796928884652	0.0033850676659	0.00500472260177	0.00236396958145	0.00532604267309	0.0141866917228	0.0293195292321	0.090350766502	0.203708592257	0.425225928057	0.20484775855
ì	0.00450752466742	0.00532405530048	0.00865285227167	0.00454333789451	0.00593029653256	0.00195701867832	0.00511673734223	0.0127248616496	0.027295442922	0.076532707454	0.201842549952	0.446738015352	0.19883460145
n	0.00251698901156	0.00590421345679	0.00590426279566	0.00441633957437	0.00440401376973	0.00166903705771	0.00343323160701	0.00874383499653	0.0208926059987	0.0730451781513	0.184897303451	0.492982385784	0.191190607517
a	0.00174250434981	0.00615018517706	0.00570476021472	0.00471295803566	0.00398248192264	0.00236043442497	0.0030047420844	0.00841585136884	0.0163857423929	0.0687159990611	0.159261034237	0.388481767661	0.331081545072
</S>	0.0015511982249	0.00602938259253	0.00559014181956	0.00646863661363	0.00470230797132	0.00367137799148	0.0036236608642	0.00873579667542	0.0128650135664	0.0528679873766	0.142406025848	0.28281023143	0.468678248236
