 	sta	e	dorme	nel	letto	</S>
s	0.852853479	0.08241940483	0.0060271738348	0.0024973712389	0.0406037957111	0.0155987809826
t	0.726078967	0.189781604743	0.0241063459603	0.00297331804123	0.0414983825006	0.0155613528042
e	0.491592268867	0.450520728914	0.0351554898001	0.00233014310574	0.0149840758003	0.00541723737337
c	0.256016915422	0.592074394971	0.0880025897467	0.00305641071125	0.0320267115748	0.0288229487985
e	0.146939465254	0.606091616324	0.164549509782	0.00610425816042	0.0387428852902	0.0375722835982
p	0.0804720231313	0.560143805708	0.301417098527	0.0152972291515	0.0264098812337	0.0162600025547
l	0.0515934683104	0.378201243103	0.420206143509	0.0805001120818	0.0447186410012	0.0247804241349
ò	0.0335851759475	0.241932485034	0.482552837836	0.172261646474	0.0431040517204	0.0265638214403
n	0.0211721926198	0.146397999278	0.615192805279	0.172461111091	0.0280711242268	0.0167047745054
n	0.0436937338379	0.104064170371	0.56641328616	0.226107104164	0.0315184457823	0.0282032620065
i	0.056345814816	0.075166218115	0.35037785902	0.373528734855	0.105234776461	0.0393465879735
s	0.0292934992736	0.0421345759357	0.260091647907	0.415184251152	0.197174267287	0.0561217421912
t	0.0195594012207	0.021519452142	0.198474603329	0.425446553917	0.238985936429	0.0960140392637
o	0.0269744093642	0.0222394956334	0.110714963536	0.348517527439	0.30562799801	0.185925607488
g	0.023809595985	0.0242590414178	0.0694300582987	0.255504940413	0.36415264587	0.262843734296
r	0.0139718373475	0.0160874675378	0.0479766000346	0.247483522804	0.358444511823	0.316036072365
à	0.012034813943	0.0102966438682	0.0346910578699	0.202763948201	0.410667562608	0.329545983875
t	0.00888720875867	0.0062718335688	0.0262636707333	0.211529550067	0.452886419469	0.294161333205
t	0.0295655845972	0.0130348113632	0.0454949264986	0.237480275289	0.410872618423	0.263551793982
i	0.0378573997193	0.0152035036402	0.0462868508811	0.163432744534	0.344779494741	0.392440007147
</S>	0.0238072808787	0.0097982941219	0.0318001478316	0.095929791923	0.29322812627	0.545436353873
