 	vengono	vestiti	</S>
è	0.960746951	0.029084347319	0.010168718056
r	0.842488156333	0.109115591906	0.0483962589497
k	0.663793015978	0.270852790769	0.0653541813502
u	0.533836458059	0.406641198523	0.0595223283834
t	0.331497758193	0.598606639774	0.0698956029278
t	0.157077311171	0.785815220591	0.0571074807359
e	0.10880988525	0.751110540197	0.140079584752
n	0.0654768836447	0.723076632066	0.211446488351
d	0.0491153351362	0.702047836022	0.248836834084
i	0.0463563481814	0.600619801341	0.353023846695
m	0.0269324107631	0.606595449114	0.366472142498
è	0.0354383813144	0.598100793305	0.366460835899
n	0.0835281775968	0.561071342302	0.3554004799
a	0.133336693424	0.403793374967	0.462869930033
</S>	0.152064996922	0.234595803384	0.613339200016
