 	non	ho	scritto	mai	una	lettera	al	mio	fratello	</S>
e	0.63312089997	0.2448969044	0.0285330804	0.0068332694221	0.00517437233202	0.00460084064125	0.000637232983261	0.00126473779465	0.00123699949476	0.0737016425664
n	0.397908908797	0.398514387467	0.0840770890067	0.0107339660598	0.0106147563464	0.00605133207892	0.00117462237787	0.00501409617686	0.0030462842648	0.0828645425067
è	0.211502122892	0.564105525822	0.142383984398	0.0140927547333	0.0130574162568	0.00486525769292	0.00167753962996	0.00609104263008	0.0041497837641	0.0380745539214
g	0.108125487897	0.581999301941	0.224724447395	0.0165441729511	0.0265387258189	0.00625355126465	0.00145396216317	0.00325530350748	0.00337950398625	0.0277255440159
r	0.0533101170657	0.39951759558	0.429849665132	0.0353285331304	0.039503068047	0.00884671246168	0.00207604444576	0.00272581765153	0.00322042711282	0.0256220355823
a	0.0287606003152	0.202570893393	0.466427839044	0.206863980463	0.0548426248697	0.00779537793276	0.00577216580545	0.00715157518979	0.0087857333177	0.0110292307265
t	0.0507588271251	0.102076339364	0.394940122348	0.324347349614	0.0760180401566	0.015650241634	0.00768442317342	0.00898500976538	0.0102449866459	0.0092946835726
s	0.0728732621496	0.0575223942013	0.364867816783	0.332058406331	0.0985117998922	0.0452466714457	0.00976745937447	0.00524127360034	0.00486672098289	0.00904421918411
a	0.0459979902464	0.0352148145224	0.207929883828	0.508702162444	0.130261354271	0.0459467678566	0.0117666819412	0.00405761119595	0.00651448897743	0.00360825768185
m	0.0217223306395	0.0234089911028	0.098123511176	0.608270194348	0.167705989957	0.0467735979535	0.0130685913087	0.00442311777998	0.00799060640761	0.00851306702802
à	0.0168512500334	0.0162481354636	0.0597622290253	0.556291248983	0.266978653519	0.0503824958378	0.0133664813729	0.00493566092254	0.00499002575087	0.0101938118711
i	0.0135444319347	0.0134422287552	0.0213633323071	0.380577959661	0.468439209173	0.0666276705526	0.0153005699143	0.00955210655139	0.00725659486902	0.00389587815969
è	0.00841468218863	0.0122505254951	0.00772530321103	0.17155700938	0.630563383724	0.113714934251	0.0266276567781	0.0139277437531	0.0115022194931	0.0037165216483
n	0.00880262911251	0.0091128023837	0.00385884188241	0.0995599487533	0.620402797908	0.187803741884	0.042674914606	0.0122025919404	0.0106728311308	0.0049088972483
a	0.0102840519021	0.0132422572892	0.00289068376487	0.0760353555911	0.517142137969	0.239754366161	0.0884751209153	0.0300756161068	0.0155754089943	0.00652500534743
g	0.0099292438614	0.0167994062997	0.00372982480896	0.0524124579237	0.389601520856	0.283611818587	0.169548519305	0.0460206726023	0.0188163098934	0.00953023732981
r	0.00775590525704	0.0136434661544	0.00433693621381	0.0259651666992	0.258609724539	0.284671781396	0.312039106435	0.0467559253341	0.0159824082911	0.0302395926239
à	0.00389589782489	0.00766940205139	0.0027574078521	0.0151824660411	0.1594016855	0.257374675265	0.422058540545	0.084302477778	0.0133058077037	0.0340516235553
m	0.00254094389722	0.0054956450036	0.0018610772583	0.00838540956637	0.130884133367	0.274037129022	0.412542209915	0.108167648593	0.0357680167546	0.0203177654731
m	0.00233207966367	0.004955969823	0.00232060704503	0.00563397493346	0.120306740609	0.215546404074	0.481650995972	0.0934394458643	0.0528912477749	0.0209225215024
a	0.00248228802622	0.00312745951433	0.00246110173734	0.00455437731769	0.0738860927563	0.118710867778	0.509524279991	0.220683384955	0.0397528155816	0.0248173253048
s	0.0023085868569	0.00426277167351	0.00277574897098	0.00362694370183	0.0390432931301	0.091880456746	0.438232970664	0.297954468052	0.0616934979939	0.0582212720549
o	0.0029087070298	0.00616424349964	0.00297094191633	0.00289891380534	0.0222550512947	0.0788847626953	0.311298502555	0.405110983084	0.097627448558	0.0698804575383
n	0.00373406348827	0.00785117800808	0.00318541173291	0.00263054402551	0.0155753040322	0.0426388171184	0.174514988385	0.509546520361	0.164869356213	0.0754538160794
a	0.00431243517509	0.00767935990049	0.00319200664564	0.0021298301849	0.0125202824267	0.0327840909235	0.114001949728	0.521170340787	0.217412342604	0.0847973538531
d	0.00469415933367	0.00643976412276	0.00442759744681	0.0020006444561	0.00928362394777	0.0240580340292	0.0649975894893	0.482233037262	0.304920516735	0.0969450275777
e	0.0069709810858	0.00603461884935	0.0048287494148	0.00203452351257	0.00871971950972	0.0186146306829	0.0425259053098	0.400385690087	0.372517536912	0.137367640703
r	0.00705189093413	0.00503930497442	0.00442692505187	0.00181168410112	0.00555493166717	0.0141494982535	0.0266111639833	0.351941996429	0.439200480971	0.144212116945
f	0.00555141318544	0.00973683837621	0.00611443917706	0.00303379014897	0.00726617387299	0.0149068449927	0.0500274651078	0.255620989276	0.458869650324	0.188872390162
ò	0.00608722115761	0.0105431785592	0.00500516807312	0.00360387027586	0.00889213738473	0.0145041924211	0.0528326531226	0.214534033725	0.474279280108	0.209718252434
m	0.00427533767476	0.00585613391007	0.00249692086884	0.00185081134529	0.00456868595538	0.00797906372477	0.0261618566755	0.182509664608	0.615249454036	0.149052063631
m	0.00478159852895	0.00484484172301	0.00336044901695	0.00188589029216	0.00932953871579	0.0117051375051	0.0297508552332	0.180304107003	0.601689250679	0.152348334097
u	0.00833230649545	0.00618834516819	0.00624830371518	0.00534917585692	0.0196521548886	0.0281781287503	0.0325670217601	0.155049182908	0.416949065893	0.321486329099
</S>	0.00975529552572	0.0082543880691	0.00746667643259	0.00804361297846	0.0232454545188	0.0386682658114	0.0267507935135	0.120021591314	0.298703430446	0.459090523549
