 	se	vieni	alle	sette	io	sto	cucinando	</S>
a	0.604564581	0.30847007664	0.017458018176	0.0040604507538	0.00383753732573	0.00176622487527	0.00413356195714	0.0557095496143
n	0.296589649733	0.598761667547	0.0280565159787	0.00632753189127	0.00419844657876	0.00234953360712	0.00525032388823	0.0584663338633
è	0.107506774695	0.791035383849	0.0592867907929	0.00852477551042	0.00332314018425	0.00280192242117	0.0036308827566	0.0238903311886
r	0.055013439149	0.731645624616	0.154532626264	0.0267742285835	0.00683249603875	0.00283144783479	0.00353793624812	0.0188322052603
t	0.0385853042497	0.534974187672	0.335301462488	0.0460144866838	0.00826964368958	0.0116396975615	0.00825574798249	0.0169594598317
i	0.0190961911552	0.312208840691	0.488511639429	0.135701643624	0.00911670155319	0.0194605597164	0.00879911908903	0.0071052869448
s	0.0190351549147	0.178816662164	0.541279432876	0.214324609741	0.0152952811557	0.0144136241463	0.0123506663156	0.00448455344544
t	0.021308147126	0.140432257735	0.535125620359	0.23419412498	0.0398254811899	0.0107620477341	0.0145663451087	0.00378596801797
e	0.0125982409808	0.083890195605	0.440903210053	0.377200332193	0.0578678807033	0.0176427940107	0.00742916001397	0.00246819122808
s	0.0084571442576	0.0389521989697	0.402123253818	0.412963452731	0.0857268865678	0.0273525030502	0.0168016666171	0.00762290290816
e	0.00892524864787	0.0228784146446	0.314116965406	0.368854101577	0.214189041323	0.0364776164701	0.020716885987	0.0138417339441
t	0.00871037754362	0.0124388463255	0.178474087602	0.389885154526	0.288515703641	0.0842496906234	0.0163317346663	0.021394406805
t	0.00693107648821	0.00728247999977	0.119237822667	0.411954135242	0.26885426208	0.143766110941	0.0199888791554	0.0219852138683
à	0.00604049160474	0.00500848841386	0.0613684367223	0.361412288147	0.342343193027	0.18927203798	0.0185119224985	0.0160431187301
e	0.00912637082425	0.00706972079329	0.0382269732874	0.191580994356	0.508572556342	0.20136860506	0.0292377415862	0.014817024524
v	0.0120819136181	0.00782293222576	0.0275018016425	0.122699431759	0.497485214914	0.257623278553	0.0537017589487	0.0210836711813
ò	0.0123836953334	0.00606762837992	0.0215592205475	0.0941091239863	0.334338989505	0.382959187518	0.12197061507	0.0266115596538
s	0.00919378862813	0.00373013648464	0.00959661398917	0.0613256576154	0.230150299735	0.479596448506	0.177673801123	0.0287332800613
t	0.00589397972904	0.00583597430551	0.0105085438291	0.0560641569918	0.148297670672	0.512728912835	0.215177769808	0.0454930142171
e	0.00497638904235	0.0076085776798	0.0160141579957	0.0291719973959	0.087098221844	0.416558857812	0.334608518603	0.103963282006
m	0.00621642894512	0.00463719138793	0.0240633448868	0.0142041457786	0.0461517299947	0.348755726804	0.404394019868	0.151577404935
a	0.00767149933611	0.00471135776391	0.0220639464476	0.00935498897627	0.0275239939516	0.264418455175	0.510616478956	0.153639277458
r	0.00501321875077	0.0046350896309	0.0108709702868	0.00672078624149	0.0165332326179	0.152671386498	0.628803314985	0.174751998699
è	0.00294443156419	0.00290160838917	0.00622019486445	0.0031692734001	0.0085847141169	0.103068566033	0.719731299662	0.15337992038
o	0.00691668176666	0.00876750947826	0.00892637480422	0.00750208380437	0.0142165069941	0.0520323625757	0.701571869887	0.200066624807
</S>	0.0117900406343	0.0151666974581	0.0140804536937	0.0130246269503	0.0222836136143	0.0418407121349	0.592782446944	0.289031413603
