 	è	che	è	entrato	da	qui	</S>
è	0.672194882	0.214435463	0.03335659625	0.0496087779617	0.00840337023392	0.00254573752587	0.0194551757004
n	0.466413636667	0.315736082333	0.04858784295	0.0873056015272	0.0105171493473	0.027441572015	0.0439981257417
a	0.272518899889	0.335357478778	0.166420477603	0.132750620642	0.0147006817358	0.0382263163838	0.0400255121683
m	0.104508054963	0.264741823759	0.259025352668	0.298252815847	0.0200442964286	0.0361632801267	0.0172643608261
b	0.0432193165677	0.150951871353	0.207048723663	0.529134676616	0.0201628320129	0.0397642829029	0.0097183109945
ì	0.0253600697826	0.100695167184	0.279666758528	0.460064689805	0.0947021106776	0.0277823831658	0.0117288339766
k	0.0275976411121	0.0701538828613	0.303973716109	0.417552787535	0.127072948439	0.0322776454794	0.0213713818861
e	0.0377079947286	0.0643651279671	0.204284439803	0.401521047578	0.19452617608	0.0686466886398	0.0289485302554
a	0.0380612541829	0.059073524129	0.134569380101	0.224782680526	0.346870876693	0.157402196527	0.0392400925385
p	0.0475711987881	0.0284515282937	0.064555097787	0.161055429042	0.397872448098	0.237358201842	0.0631361065262
ò	0.0434444495118	0.0148519472219	0.0292374847357	0.09296237827	0.376553303099	0.321134473441	0.121815965789
t	0.0215765918726	0.00851700804397	0.0162243813592	0.0477950380793	0.344397619566	0.42925370784	0.13223565191
t	0.0176135490217	0.00851203886706	0.0145962267383	0.0396974284158	0.263502498802	0.48708859928	0.168989662843
u	0.015869179938	0.00942641018742	0.015371934826	0.0275082995906	0.145574531994	0.477578312693	0.308671339241
</S>	0.014509249909	0.00900126161771	0.016467045446	0.0213173843893	0.105212671167	0.452938522747	0.380553875421
