 	vuole	pianto	</S>
i	0.96459641	0.028328038369	0.00707556976
t	0.962455505333	0.0253680764857	0.0121764283333
è	0.955904579111	0.0305856841752	0.0135097355424
l	0.862048279037	0.110642928445	0.0273088057728
i	0.651364779512	0.252120597795	0.0965146335516
k	0.416191535377	0.438301896445	0.145506586731
l	0.242385233566	0.564087190348	0.193527594544
a	0.134561023689	0.565506885249	0.299932101068
m	0.0693496342897	0.60536876535	0.325281619356
m	0.0644883670606	0.612390006043	0.323121640719
è	0.0859567168869	0.454763852808	0.459279441173
n	0.13497255481	0.348570054136	0.516457399058
o	0.167318121931	0.261469675499	0.571212199219
</S>	0.15857983398	0.16451434993	0.67690580791
