 	se	vieni	a	casa	ogni	sabato	</S>
a	0.6051934927	0.30618915798	0.008268304867	0.0033717839969	0.00185722374448	0.00113861947229	0.0739814479169
n	0.30381107974	0.589834629327	0.0156718794557	0.00644444596297	0.00242895803653	0.00261211346148	0.079196892983
è	0.113096289189	0.788607355109	0.0435271981852	0.0146167646877	0.00275065453938	0.00302114155686	0.0343805852369
r	0.060532329445	0.75575097237	0.113700458262	0.0379518417292	0.00315421417113	0.00328419860645	0.0256259928597
t	0.0457755111617	0.624206400123	0.222671839354	0.0531424859764	0.0137397051134	0.0171976658924	0.0232664029266
i	0.0273945757219	0.413215730288	0.377890116385	0.118129463392	0.0283281861688	0.0227228458691	0.0123190741827
è	0.0139920682433	0.196064728311	0.457724933128	0.275453661131	0.0299000653496	0.0122333049697	0.0146312203664
s	0.00741647902083	0.109359071039	0.392417581709	0.430151896377	0.0287227858165	0.0101675627719	0.0217646032248
s	0.019168964392	0.082663096013	0.284505721836	0.519543273459	0.0415457537895	0.022994705784	0.0295784567048
u	0.023664859176	0.050345086091	0.183890474479	0.467181735153	0.19452986648	0.0465722731747	0.033815694897
k	0.01338013924	0.0233044447703	0.104715458513	0.438660815051	0.296286519293	0.0906221678049	0.0330304706128
u	0.0110983698313	0.0124435059701	0.051911821711	0.344155489084	0.390783327564	0.157073292935	0.0325341961047
à	0.0113977898991	0.0126089936874	0.031440287137	0.169742997735	0.544262639188	0.191509382778	0.0390378955016
i	0.0120690617464	0.0142440210025	0.0214468470603	0.101438199892	0.521459080129	0.248654756459	0.0806880222672
s	0.0085581281786	0.00847086303763	0.0114287684174	0.0499025226373	0.38070377271	0.434096907486	0.106839039556
à	0.00729022206	0.00536967137801	0.008208438171	0.0272892416798	0.227226311837	0.627367175162	0.097248954252
m	0.0063570969374	0.00383652829174	0.00499666519953	0.0159808395806	0.141953363412	0.744752339054	0.082123180904
b	0.00522152840553	0.00506475731651	0.00562687807451	0.0121278064902	0.08430440338	0.805918527018	0.0817361194547
a	0.00545271236484	0.00862429855437	0.00867854465057	0.0179664995527	0.0517121629693	0.650556976673	0.257008824685
</S>	0.00371507996742	0.00912731922319	0.00897835316188	0.0247724642454	0.0463752430846	0.486715291837	0.420316263143
