 	puoi	non	parlare	di	questo	con	Anna	</S>
i	0.822673268	0.10117527081	0.03686774914	0.00650710390505	0.00158389505603	0.000772875681115	0.00224935161136	0.0281705145503
s	0.737611322667	0.103226526937	0.08084218988	0.00860753323472	0.0103698653516	0.00564595642634	0.0222292937981	0.0314673294826
ò	0.666465933556	0.140423157646	0.120686563053	0.00783335946301	0.0134550393253	0.00747435665877	0.0287545022713	0.0149070949907
z	0.543110637852	0.212004026549	0.178432653178	0.00875825912578	0.0084015936928	0.00420513286672	0.0164122566783	0.0286754472694
i	0.318631667391	0.298354549183	0.309563069059	0.00914021525526	0.0136493102305	0.00585912982049	0.0124516590914	0.0323503885396
m	0.137029900504	0.261263051861	0.53145788102	0.0224369124518	0.0141981461978	0.00728473807086	0.00739255555065	0.0189367854383
i	0.070032729288	0.151917216554	0.676370227673	0.0420940599973	0.0239377345586	0.0106216757898	0.00821586277765	0.0168104840576
m	0.040491566396	0.0994822381447	0.695123074558	0.105669977532	0.0284256205762	0.0108407687995	0.00873148439212	0.0112352710616
i	0.02423164531	0.0576824573082	0.659997183519	0.184539553711	0.0289608087921	0.0134010912512	0.0145505104149	0.0166367446168
l	0.0184909600893	0.0405584549694	0.56336936614	0.23211259577	0.074086838944	0.0200174406217	0.0338643633619	0.0174999940842
ì	0.0121119780458	0.0268796765031	0.45081198328	0.321101015257	0.129139124115	0.0193514142606	0.0321289053907	0.00847592955755
s	0.0092065820866	0.0205636428344	0.381696762693	0.410650761086	0.133403725238	0.0157354924535	0.0152970508456	0.0134459836396
i	0.0117904734522	0.0131453374781	0.261758788391	0.470272003695	0.176271003879	0.0379114708445	0.0127829526649	0.0160679587815
a	0.0155421201307	0.010144186458	0.101960203788	0.422899617232	0.33636690396	0.0895765498948	0.0114902196487	0.0120201929698
t	0.0103913969756	0.00608130203953	0.0505105524273	0.315112815304	0.47029257532	0.116886866698	0.0189302969056	0.0117941918122
s	0.00675684623992	0.00517466161506	0.0337067329747	0.226098755595	0.53767365844	0.137885018966	0.0276771965299	0.0250271392541
è	0.00526963425199	0.00435690568137	0.0172516922605	0.126617458638	0.578507982813	0.215301088122	0.0227331989513	0.029962052856
t	0.00289179699334	0.00265867887315	0.0098904649335	0.084713766186	0.606692850938	0.236547556907	0.0286107174371	0.0279941773331
ù	0.00550713456045	0.00198561520508	0.00700642180717	0.0573775463953	0.522332480313	0.330274431836	0.0399617849757	0.0355545910142
o	0.0129284482048	0.00315821533769	0.00548469749012	0.0244330005584	0.325623443904	0.525574046612	0.0583032125419	0.0444949346981
m	0.0144824248783	0.00476578876763	0.00920941407351	0.0142570689508	0.198858984968	0.556846802204	0.134167598247	0.0674119058994
e	0.0097668727661	0.00464584609828	0.00964488066557	0.0125977803316	0.125916244789	0.504842084735	0.206394841149	0.12619144278
t	0.00783135300749	0.00400770650043	0.00741313941026	0.0105564931859	0.0757565337297	0.424544686912	0.31033645165	0.159553652273
i	0.00785010479395	0.00489605195781	0.00743046426715	0.0106030131686	0.0511833209366	0.316958888971	0.430517871217	0.170560312824
n	0.0108589466045	0.00536358108724	0.00918031856905	0.0100247337939	0.0283934474189	0.198689478857	0.566127573739	0.171361944008
A	0.0117331027234	0.00458651429838	0.00872463028568	0.00692798896963	0.0154397303396	0.107559125819	0.699291571246	0.145737352469
n	0.0172530154616	0.00360105582851	0.00895972250846	0.00410944699888	0.0100376699165	0.0716184579597	0.720147394082	0.16427325999
n	0.0222082819382	0.00380589843475	0.00922610405749	0.00366811523543	0.0102754431012	0.0956974237066	0.578331534561	0.276787210563
a	0.0153716392433	0.00640121765645	0.00802921692114	0.00774331893168	0.0217761045381	0.120397974516	0.341597895787	0.478682626388
</S>	0.0113788282816	0.00770837004522	0.00898986946537	0.0105997566924	0.028898045157	0.102744580128	0.240016769994	0.589663773494
