 	i	bambini	non	si	vestono	da	soli	</S>
t	0.8015583454	0.1883930467	0.00077334555287	0.00118079937745	0.00064658420627	0.000513211269543	0.00116804795041	0.00576660027009
a	0.6217057086	0.36184376896	0.003678914697	0.00168948615768	0.00139552139667	0.00125661991431	0.00235224152645	0.0060777177413
p	0.4130601521	0.53902235196	0.0314133136397	0.00739164957943	0.00236058991484	0.0012616285467	0.00254172292479	0.00294858113613
e	0.2818753814	0.656974162253	0.0449776844566	0.0102920788241	0.00208906688448	0.000529347357406	0.00134078251103	0.00192149838318
t	0.187424735227	0.743158810751	0.0475612780389	0.0131505697807	0.00246011079696	0.000622836502308	0.00240914874829	0.00321250390211
ì	0.116281666702	0.739637758917	0.116544723466	0.0182292766382	0.00250801571532	0.00068528412216	0.0027987126079	0.00331455037003
a	0.058052149774	0.578193272306	0.269431607855	0.0705697332861	0.0141447303401	0.00380542958611	0.00282940099828	0.00297369110884
e	0.033070240494	0.328606674369	0.373389481885	0.179932601829	0.050637133718	0.0089440680433	0.00599091224156	0.0194289059021
n	0.0324701770453	0.20777427559	0.309463562988	0.29399315661	0.095940830236	0.0107185278751	0.0188510555793	0.0307884207014
i	0.0431436368511	0.14285040873	0.268292081556	0.38840467647	0.100366884079	0.0121829586497	0.0225450563577	0.0222143072591
n	0.0382293007604	0.0833066928953	0.243144071785	0.406020582823	0.165914181826	0.0148810434612	0.0240039268438	0.0245001994983
d	0.0371871576474	0.0885364654924	0.131927722062	0.357174842808	0.234487159675	0.0583669538404	0.0578239921146	0.0344957108594
ì	0.0335095263777	0.0755876538061	0.075326132954	0.335446231469	0.309531436292	0.0859570992201	0.0586894200695	0.0259525065315
n	0.0173760433684	0.0391676563554	0.0705048611847	0.327140850223	0.418299099431	0.0574524580067	0.0397800706212	0.0302789679822
n	0.0664334288853	0.0655686955785	0.0525911670682	0.254781397941	0.371029813144	0.0665045903489	0.0702458593937	0.0528450547627
o	0.0873498102638	0.0728088715582	0.0452140360961	0.172576302714	0.293220351048	0.198721205336	0.0792066449846	0.0509027767296
t	0.0393936537725	0.0390204626158	0.0391352855074	0.127251329765	0.338247310349	0.281502178579	0.0799033320949	0.0555464390992
t	0.0153628332303	0.0198571875702	0.026178529008	0.103114757815	0.33078234305	0.313076626993	0.125246160298	0.0663815543824
e	0.00764351799347	0.0101428727583	0.0241692670062	0.0759171866383	0.227427749883	0.452655917664	0.133656565433	0.0683869295941
m	0.00534143706696	0.0120006370038	0.0210261953221	0.0470077546128	0.191446298828	0.504733949221	0.119938048811	0.0985057041314
a	0.0117569627643	0.0140851572285	0.015864182074	0.0364953977876	0.154724435776	0.480937853074	0.173295776137	0.112840251777
n	0.0148117286938	0.0160069109449	0.0243487173815	0.0267056239499	0.102467003559	0.441783839491	0.233562214312	0.140313956192
e	0.00969833710427	0.0164305675851	0.0271207823649	0.018451211374	0.0773190862997	0.355848488764	0.336498544904	0.158632977037
c	0.00887316628449	0.0381823794716	0.0250424056362	0.015205995638	0.0484765405066	0.279313269921	0.414179933968	0.170726316186
h	0.00704202886431	0.0440008264116	0.0225557169635	0.011702648624	0.0245841595489	0.208786551174	0.455265043989	0.226063037062
à	0.00525449677692	0.0172236806603	0.0109587123856	0.00696550727933	0.0159328940496	0.169363873925	0.520319871996	0.253980964514
t	0.00441941345257	0.0146292846142	0.006935440218	0.00471724506578	0.0137721657565	0.154109975608	0.556550905332	0.244865560798
u	0.00651835524872	0.0169237732521	0.00965376608747	0.0113153812859	0.0173392550322	0.123376530636	0.463904795777	0.350968152066
</S>	0.00929849891436	0.014198019496	0.0131253732217	0.0182250089099	0.0231887203461	0.103712734318	0.346937321889	0.471314354033
