 	qui	dentro	vuole	un	tappeto	</S>
e	0.854527582	0.134125429987	0.00418487830464	0.00378628038075	0.00248672133934	0.000889090641562
t	0.800263171333	0.171290147662	0.00887406695021	0.00466709229558	0.00362345195707	0.0112820635385
t	0.792020881778	0.160713258154	0.0251659752254	0.00358009434319	0.00420502358424	0.014314757773
ù	0.549870388726	0.404297234985	0.0343335439151	0.00307370763706	0.0033912194928	0.00503390596538
m	0.242278453842	0.631647888862	0.101724694072	0.00931560714969	0.00495525851624	0.0100781128863
è	0.112582128727	0.692270696821	0.159026137157	0.0147461081832	0.00645525273561	0.0149196815652
s	0.0502614167823	0.69173668254	0.226409691586	0.0122918062677	0.00819621526574	0.0111042022871
a	0.0398022995441	0.480672842313	0.407915388529	0.0518139637559	0.0104197135032	0.0093758192711
t	0.0305777921874	0.241428569304	0.603456638843	0.104168493052	0.0102578938797	0.0101106174999
è	0.0122866422898	0.101744631148	0.740932796948	0.125886611217	0.00938670494657	0.00976259543678
l	0.00613243297193	0.0532119049293	0.784907668983	0.131402303006	0.00987126306886	0.0144744215915
i	0.012888073128	0.0399219493298	0.579565923594	0.320279355269	0.0210627242163	0.0262819802512
è	0.0154226004427	0.0215938868633	0.291314021331	0.609035948423	0.0310777969588	0.0315557523971
n	0.0124404472957	0.0108060453628	0.182858178977	0.703111430808	0.0486986330729	0.0420852773257
a	0.04146097072	0.0158677683133	0.113894606684	0.644890142936	0.113513499158	0.0703730262419
t	0.0471150818573	0.0177043690933	0.0584701546327	0.486160262312	0.282470709053	0.108079423347
a	0.0205625985898	0.015766360667	0.0375713132809	0.349761782104	0.431527807684	0.144810132782
p	0.0118957724713	0.0131220841228	0.022971191861	0.228657312168	0.549042755895	0.174310885927
p	0.00668518496611	0.00630590785047	0.013008526583	0.109429097096	0.661026963965	0.203544320109
è	0.00457150360144	0.00527982639289	0.00917169382633	0.084877935652	0.692420228655	0.203678811836
t	0.00528426490981	0.0047547834623	0.0112978830172	0.0851375243973	0.713124836885	0.180400715079
o	0.0154906980275	0.0160249210808	0.0217431267955	0.0793735619391	0.528811438428	0.33855626116
</S>	0.0257527226237	0.0280734092374	0.0281774040897	0.0816588174796	0.332361392414	0.50397625688
