 	non	deve	magniare	la	sera	</S>
e	0.73161367144	0.1461312582	0.028301174927	0.00196186760665	0.00225555185056	0.0897364982843
n	0.48048298184	0.340980771667	0.0574279127223	0.00393672851888	0.0205248736745	0.0966467651441
è	0.221016972267	0.586569356556	0.119697468321	0.00486929278963	0.0261904348523	0.0416565149411
n	0.0928772893557	0.656994605652	0.13311311584	0.00556331218321	0.074582696245	0.0368690116401
a	0.0453937280652	0.545215636617	0.226797501347	0.0524216863677	0.0961237955007	0.0340476600394
f	0.0255810090417	0.363607035272	0.402098767449	0.107653137123	0.0602232639156	0.0408367897318
à	0.0203157943006	0.210801557564	0.503185952816	0.172128058374	0.0488897698772	0.0446788869964
i	0.0196457821669	0.111040001128	0.445014231272	0.332451030791	0.0531274220577	0.0387215449926
t	0.0152181605857	0.0623662319049	0.281062841224	0.488463234264	0.0944797400859	0.0584097914975
o	0.0129995973453	0.0348621648772	0.180384599235	0.553339844088	0.159076104495	0.0593376807325
v	0.0343913987196	0.0287013869499	0.102266258012	0.484705451696	0.269258092365	0.0806773981775
r	0.037217867827	0.0216990429866	0.052584418056	0.334274662899	0.371393185322	0.182830821439
à	0.016960956547	0.0121552309079	0.0296990887373	0.2775987521	0.457264300507	0.206321680793
i	0.0267794706043	0.016800706644	0.0228801954114	0.22916494728	0.471126101102	0.233248592531
</S>	0.0399913322321	0.024919294954	0.0207169455942	0.16989087181	0.432725124951	0.311756442666
