 	le	melanzane	vogliono	girate	</S>
e	0.961111246	0.026729324323	0.0044474047962	0.0014840392453	0.00622800573783
m	0.831174010667	0.102889792569	0.0368524866787	0.00333212529797	0.0257515907757
a	0.673709985556	0.19545397019	0.0476283603962	0.0311328684674	0.0520748146734
r	0.465388316819	0.39487249273	0.0478640810754	0.0389879550757	0.0528871592136
a	0.243060088773	0.61213237691	0.0824640486318	0.0242956502028	0.038047849236
n	0.139037108811	0.684970600303	0.117759523564	0.0190361618763	0.0391966281759
g	0.127463660424	0.686993489434	0.132083684581	0.0160065870054	0.037452612048
i	0.179533224861	0.620617472478	0.161407522454	0.0184213186565	0.0200204896833
à	0.132507792367	0.556940340159	0.280025736418	0.0180026306722	0.0125235160591
n	0.0546027531117	0.466585011653	0.434359040939	0.0256388590441	0.0188143440868
e	0.0795809227266	0.300465981564	0.53531743698	0.0509682998547	0.0336673592427
e	0.0872826202755	0.133314322332	0.625416274327	0.0951672150182	0.0588195605676
t	0.03265037506	0.0533646074613	0.757524206109	0.0932752848061	0.0631855097492
è	0.0149481377882	0.0266624294671	0.798278800703	0.119990849135	0.0401197525564
l	0.0087769813292	0.0159151424957	0.776960915568	0.162775516112	0.0355714132268
u	0.0104126377095	0.0140934792406	0.598991969389	0.279199218171	0.0973026796503
n	0.0168130955439	0.0134621903089	0.443944914663	0.386537400857	0.139242389817
v	0.0192525732584	0.052092064193	0.341224390954	0.378404295619	0.209026668406
o	0.0228827974825	0.080757471595	0.160119318931	0.444571349206	0.291669056335
t	0.0248392267946	0.0467591277917	0.12672641459	0.497952714402	0.303722514978
i	0.0199002333419	0.027197865471	0.103996413243	0.503085933467	0.345819561326
m	0.0142521425833	0.021603725811	0.0525463079277	0.592645836489	0.318951996442
m	0.0159776156412	0.0124766690157	0.0404375806068	0.615194113496	0.315914029614
è	0.0409945486278	0.0337795060211	0.0467992702199	0.469649185765	0.408777494671
n	0.0537613762673	0.0450879938144	0.0480286232	0.493064539188	0.360057477557
e	0.0361094235471	0.0282565895715	0.055595942704	0.467964161463	0.412073905186
</S>	0.0272573866835	0.0236776586297	0.064661543498	0.333063507332	0.551339929593
