 	il	muro	vuole	uno	specchio	</S>
o	0.7640519106	0.201861297303	0.0213592284149	0.00230321940575	0.00551804368756	0.00490632913074
t	0.49089852742	0.410372149901	0.026132172803	0.00282312617258	0.0613427391561	0.00843130099051
ì	0.247402126827	0.627423771034	0.0220573485523	0.015897097226	0.0787589494322	0.00846070840834
c	0.208530452009	0.701394003678	0.0267432592508	0.0202378291713	0.0332777153504	0.00981672914202
h	0.292070940203	0.600212803693	0.0221140300396	0.0587565845136	0.0178067027743	0.00903893872047
o	0.247796266341	0.559162279698	0.0785496876559	0.0920444891149	0.017049359132	0.00539792755505
t	0.1097328898	0.463367732166	0.304926028552	0.0569062180743	0.0556574300893	0.00940969780325
è	0.045393010906	0.280818181589	0.557752492851	0.0412627063184	0.0639905804968	0.0107830138656
l	0.0289005272953	0.16587692693	0.71749705295	0.0423486901597	0.0361716501433	0.0092051374515
i	0.0645276456524	0.113599867117	0.696495171917	0.0371147562866	0.0669615134078	0.0213010401096
è	0.0741290028148	0.088682103179	0.572754514906	0.0685560587155	0.140766529283	0.0551117974299
n	0.0337213849935	0.048432026313	0.447855935635	0.173154447892	0.227270374648	0.06956584011
a	0.0648288227831	0.0566873462763	0.264787386145	0.232666935897	0.265350347016	0.11567915707
n	0.0730172095419	0.0561390915023	0.128675176262	0.256197149432	0.349628795805	0.136342568557
j	0.0436062180748	0.0278765324323	0.0893109509073	0.273468088311	0.376528233802	0.189209969719
a	0.0352983533116	0.0170450725404	0.0677210519043	0.269544030137	0.364582031201	0.245809454506
l	0.0161691144756	0.0164705953879	0.0328412042453	0.270928915996	0.459377076667	0.204213097809
ì	0.0071320645116	0.0119130901282	0.0168765434058	0.235258527329	0.509036423956	0.219783361176
</S>	0.0045068559278	0.0070035494851	0.0104692083659	0.212788522734	0.518735779578	0.246496093588
