 	forse	sono	usciti	</S>
f	0.968179035	0.004259897477	0.0239939842153	0.0035670678001
ò	0.905265541	0.060213448239	0.0287036082079	0.00581737423623
r	0.789079825667	0.12836692388	0.0420956593523	0.0404575622587
s	0.678551507556	0.17194291036	0.0525321414511	0.0969734291602
i	0.450885773552	0.405217738253	0.0537491031677	0.0901473920561
e	0.191691897684	0.537045968351	0.212336422269	0.058925721492
g	0.0894549115147	0.535052547384	0.317780502803	0.057712033124
g	0.0835728029202	0.477537428795	0.262420429534	0.176469320008
u	0.0716280515887	0.308744144398	0.358377647645	0.261250145136
ì	0.0287197722096	0.215060311106	0.524781073215	0.231438839439
k	0.0226574249679	0.214433872113	0.547792632098	0.21511606174
a	0.0368946971406	0.197045207042	0.469626045859	0.296434044047
n	0.0477103401135	0.172482228721	0.440860490753	0.338946940549
e	0.0696840011025	0.175789423354	0.368555790651	0.385970776716
</S>	0.0918976109182	0.134903534937	0.281450083926	0.491748753358
