 	l'	ho	sentito	quando	veniva	</S>
t	0.865244992	0.07004788969	0.036603523642	0.00501399132892	0.00478985487556	0.0182997535392
o	0.567119688733	0.20939348683	0.181183785823	0.0134679574624	0.00926302098785	0.019572046676
n	0.237721550178	0.40134936961	0.274143182168	0.0444146065141	0.0183450538075	0.0240262441272
ì	0.111053245736	0.42108284927	0.362458062416	0.0637553002514	0.0172335939237	0.024416963164
k	0.088626713242	0.316378226023	0.493371732805	0.0735216057505	0.0112926820966	0.0168090439156
u	0.0914977504273	0.222444725808	0.516775236935	0.134192417584	0.0200400162895	0.0150498699955
s	0.0587949464871	0.132482529403	0.415842807378	0.290384992861	0.0863653455318	0.0161293962414
a	0.0328005004604	0.070227821201	0.263049820926	0.492627912287	0.116665200037	0.0246287514414
m	0.0201306469181	0.0397865034637	0.161890101895	0.650953128762	0.075286272319	0.0519533411205
ò	0.0132059566244	0.0274084750786	0.0716843785517	0.739887526921	0.0820594306797	0.0657542086402
t	0.008609909501	0.0209171696382	0.0413103653172	0.731829980974	0.12785123676	0.0694813145467
t	0.0418786977662	0.0186697845927	0.0280763033991	0.563979035925	0.240465609253	0.106930564689
e	0.0554222031434	0.0204894482662	0.022060417459	0.320761220042	0.438581945751	0.142684766263
è	0.0229797132571	0.0165402009981	0.0173334135305	0.153663207547	0.652785092584	0.136698366888
r	0.00922576914243	0.0234808442401	0.010305866627	0.117152812096	0.692755254861	0.147079435229
k	0.00731064424288	0.0331054300028	0.00793685052767	0.103858605662	0.613672024287	0.234116419156
a	0.00993649014296	0.0231195184383	0.00580805000989	0.048719333184	0.567474073096	0.344942514199
t	0.00894960196212	0.0151061356038	0.00561394987723	0.049766135746	0.546714167365	0.373850012066
o	0.0116715828425	0.0203779931102	0.00622586806834	0.0565580267053	0.506524224455	0.398642324882
</S>	0.0165554967752	0.0259076978608	0.00621519841817	0.0443693497807	0.458141100227	0.448811178731
