 	puoi	non	parlare	di	questa	cosa	con	Anna	</S>
s	0.923378207	0.04565208698	0.019258862575	0.002272362275	0.0018571081693	0.000462423477466	0.000527187469071	0.00147224644067	0.00511950796284
ò	0.903363973667	0.0545235835867	0.0279162632117	0.00369198434433	0.00265155500363	0.000535329210446	0.00058792326366	0.00153870348101	0.00519067919838
z	0.830280294556	0.0900904374556	0.0453696440572	0.00450610817004	0.00321778273214	0.000545609692469	0.000659173824767	0.00225980505518	0.0230711433593
i	0.597055988985	0.243389518479	0.111211807952	0.00519432927935	0.00689175763138	0.00151633529942	0.00229060998686	0.00319882262276	0.0292508391744
m	0.309289194662	0.30974899416	0.324797415317	0.0149055961645	0.0115474230478	0.00203899585338	0.00399620469281	0.00568115117909	0.0179950292757
i	0.172943360701	0.236103292253	0.516536612439	0.0236604628462	0.0163055256153	0.0047825873037	0.00480018722059	0.00702736193994	0.0178406049306
n	0.0973687476803	0.194043838451	0.579682386146	0.0379229213487	0.0266335334078	0.00557501768817	0.00696306605035	0.0376634220847	0.0141470557065
o	0.0531106182281	0.12719418465	0.632889116049	0.0762958347362	0.0281356903559	0.00455288549872	0.00606443669032	0.0471621560687	0.0245950667924
m	0.0331499203174	0.0779673058233	0.656876774016	0.147805100665	0.0278434223053	0.00442922147157	0.00312733456431	0.0228531961418	0.0259477154004
i	0.0250558645971	0.0432894630144	0.613206330672	0.219646433242	0.0434451002951	0.00700834857419	0.0048606081719	0.0190882502105	0.0243995941828
l	0.0223536458004	0.0292151754715	0.511081163491	0.271455715347	0.0964826532117	0.00930524799106	0.00736301569443	0.0295749622256	0.0231684063071
ì	0.0133385172661	0.0193769889638	0.39255451783	0.327325215649	0.194922645271	0.00837016853035	0.00584452068414	0.0289614075906	0.0093059916088
s	0.00904599351803	0.0143986288813	0.33816881801	0.37459268375	0.217433714957	0.0210212267768	0.00383179625405	0.0119412888227	0.0095658414469
i	0.0161778589327	0.0107805106271	0.240382466737	0.41730891145	0.248922582719	0.0409856404589	0.00789218896135	0.00765584067607	0.0098939930587
a	0.0211178285776	0.00910367092037	0.091933971221	0.363595595683	0.36937774424	0.114991320253	0.0165698592038	0.00576656664009	0.00754344973623
t	0.0116556836402	0.00512363961432	0.042437919259	0.255065875001	0.500325383413	0.144223557584	0.0223570882146	0.0113627646294	0.00744811725041
ù	0.00739607167835	0.00373625083831	0.0243141673643	0.172920556934	0.605277191138	0.127099167195	0.0391231224649	0.0158533132058	0.00428017494644
t	0.00569766514388	0.00291945685937	0.0120627743361	0.113379416998	0.623166637046	0.162605936932	0.0588794209883	0.0157488192053	0.00553986700118
t	0.0053961109371	0.00246939401677	0.00787962998157	0.082090906946	0.556061434349	0.260051105377	0.0572188256161	0.0156775918211	0.0131549843805
o	0.0080734908704	0.00323664377864	0.00584709366066	0.045438267842	0.41530234145	0.367627736459	0.120242063492	0.019491566683	0.0147407855052
p	0.00782464299	0.0049226724532	0.0106696454388	0.0265816117207	0.374535891817	0.338674189486	0.183171334497	0.0417976300143	0.0118223766484
r	0.00521521362304	0.00546544478089	0.0115491211169	0.0178058453002	0.356645375272	0.346971620495	0.187321900166	0.0484048724914	0.0206206184961
à	0.00328976981618	0.00357542959447	0.0058163386139	0.0105456248181	0.220062092371	0.362624620098	0.330727854722	0.0394417450838	0.0239165410854
m	0.00244766062002	0.00205044709069	0.0037183022089	0.0061962978747	0.15218144339	0.275028924166	0.442779217574	0.0869151900346	0.0286825286371
m	0.00455426296063	0.00198228294116	0.0035475567483	0.00617519813557	0.13028958645	0.280304397855	0.384049217858	0.149309880576	0.0397876373544
a	0.00885835791221	0.00253295552079	0.00346593086277	0.00737791347652	0.0748864969233	0.249968486152	0.417814918619	0.14267326249	0.0924216965848
m	0.0095907293254	0.00325719031804	0.00614597332492	0.00730656224417	0.0375985038144	0.153053407451	0.42135510354	0.20159635043	0.160096181462
e	0.00791990766693	0.00508818904253	0.00932122427734	0.00920921377959	0.0244940455981	0.0979600592103	0.34282153318	0.28757092921	0.215614895654
t	0.00737078689138	0.00514689592414	0.00886459114807	0.00931427314613	0.016757858788	0.0478985399434	0.299343823993	0.385397832803	0.219905404318
i	0.00728267004306	0.00526614919875	0.00736828742062	0.00843892685118	0.011369847422	0.0253513562545	0.232467354931	0.480098616934	0.222356794806
n	0.00777248776272	0.00524441666321	0.00755576707534	0.00775510571006	0.007631025102	0.0133812349315	0.145149733777	0.597298974311	0.208211241969
A	0.00797645840727	0.0041360388019	0.00713009990491	0.00497509304129	0.004384481086	0.0067380230745	0.076851287659	0.733649422104	0.15415907847
n	0.0148623910141	0.00348607685916	0.00864547079034	0.0030475181963	0.00278877721117	0.0043200280737	0.053643288035	0.734360656968	0.17484579595
n	0.0232071003337	0.00312012764222	0.00900732449599	0.00285109473999	0.0028188639823	0.010924575204	0.0722989691823	0.589416905656	0.286355040563
a	0.0185889912873	0.00477571720405	0.00687114294624	0.00594722044468	0.0077871125515	0.0234297888626	0.0928163702708	0.356670632285	0.483113019721
</S>	0.0127842567736	0.00576101712202	0.00687595575072	0.00808231812334	0.0115894191357	0.0278633990613	0.0866348550174	0.248538727142	0.59187005516
