 	era	molto	stanco	</S>
ì	0.948746693	0.03491184781	0.0093539070368	0.0069875490015
o	0.780556810333	0.13855173747	0.0174172210249	0.0634742328075
n	0.507961877178	0.371339702623	0.0249229299296	0.0957754891961
e	0.300889598993	0.596407092874	0.0454707585232	0.057232546173
p	0.157478420831	0.703101796958	0.102749763908	0.0366700112377
o	0.083123476357	0.688922526319	0.179099104769	0.0488548829326
d	0.051392452499	0.575943638773	0.284296012923	0.0883678983842
d	0.0279462586197	0.452720616724	0.370339834308	0.148993286715
h	0.0137327217259	0.395799545441	0.396958159436	0.19350956915
ì	0.0088941607613	0.311859718814	0.449371247812	0.229874874635
s	0.0114477741324	0.203472491005	0.537936275937	0.247143471158
t	0.0136478986861	0.164103157922	0.558792215312	0.263456743399
r	0.011118036052	0.120021482054	0.609427084437	0.2594334008
à	0.033878437384	0.0547820488713	0.574176906346	0.337162612667
k	0.0420045141125	0.0250303119238	0.503176526582	0.429788652889
k	0.0239885862486	0.0195670660013	0.485060173527	0.471384179496
o	0.0687044311462	0.0319534343824	0.346435452976	0.552906680232
</S>	0.115010014088	0.0434674363342	0.265355765588	0.576166775716
