 	dei	genitori	</S>
à	0.867469179	0.101676719944	0.030854100959
t	0.758144444333	0.182330907771	0.0595246473359
t	0.721533760111	0.195827208724	0.0826390392335
u	0.643504208037	0.226716239441	0.129779557752
s	0.416530813152	0.45120591948	0.132263262831
g	0.305051474757	0.59835990916	0.0965886041237
e	0.258754095152	0.588897313053	0.152348587935
n	0.131699555588	0.695001545684	0.173298892032
i	0.088661842196	0.685156122761	0.226182021437
t	0.07399992061	0.687662834454	0.238337233399
ò	0.043986725092	0.762908490818	0.193104779386
r	0.0330152730023	0.787822782939	0.179161947275
u	0.0476071782818	0.63753615918	0.314856661905
</S>	0.0748056178149	0.43254012189	0.492654254953
