 	ho	finito	di	scrivere	</S>
s	0.7087517494	0.20598043823	0.0221116094848	0.0348464765083	0.0283097180374
p	0.508119467433	0.38200513781	0.0416946818949	0.0386814627732	0.0294992432322
ì	0.268261269478	0.656898362603	0.045637725325	0.0171157147804	0.012086912458
c	0.104585518386	0.831805392201	0.0417796667577	0.00825578835829	0.0135736143037
c	0.0493103639487	0.795173196067	0.118490470909	0.0136966095216	0.0233293498394
e	0.0608168186029	0.620431358689	0.276617438376	0.0224852116139	0.0196491669651
t	0.0693407235103	0.51593343183	0.370877994239	0.0316323330893	0.0122155108784
s	0.0450062137194	0.45087546621	0.432501735526	0.0426371362211	0.0289794515527
a	0.0401634094998	0.304286513543	0.539136810509	0.0634881034337	0.0529251732274
à	0.0658995439246	0.176528853854	0.55728481181	0.119157279571	0.0811295032758
t	0.0783022894491	0.100682535491	0.46861411891	0.211016700824	0.141384355292
s	0.087024892938	0.0729374480434	0.30263948717	0.333831667908	0.203566516597
e	0.097382258354	0.0819885510542	0.164581896257	0.355300629703	0.300746658299
g	0.0771684993138	0.0674437715047	0.133736331419	0.334473197968	0.387178189633
r	0.0502828396977	0.0541574863096	0.131368306026	0.344828521989	0.419362844744
à	0.0367172402459	0.0745593775193	0.104907696022	0.363370266196	0.420445415581
t	0.0292696705036	0.0576660249652	0.057908002614	0.437743489399	0.417412818127
s	0.0696903757879	0.0344629270417	0.0332811425187	0.489979784266	0.372585784509
i	0.131614046321	0.0440059215208	0.0256416103722	0.375921543089	0.422816885703
</S>	0.14196143392	0.0506972437369	0.0259895767341	0.247735997045	0.533615748852
