 	non	ha	mangiato	mai	un	rustico	</S>
e	0.6631801823	0.2435524769	0.022144625239	0.0042297317604	0.00591338386986	0.00305675733494	0.0579228472231
n	0.3941101943	0.445586834633	0.0738186315463	0.0052242367468	0.00712318534689	0.00802761223951	0.0661093130802
è	0.17460873374	0.648367842878	0.129808388782	0.00403588789893	0.00428585114796	0.00797539018188	0.0309179136443
c	0.0750151918067	0.698003674959	0.180775659794	0.00669343708681	0.00502643703005	0.00676202618287	0.0277235680536
h	0.0584896130422	0.632146954986	0.245560644598	0.0160377382034	0.00610766013535	0.014787585775	0.0268697818238
i	0.0455647344441	0.416779826529	0.473081492866	0.0285082970945	0.0109673044038	0.0143947927206	0.0107035515731
f	0.0213031267247	0.172681956843	0.675203874955	0.0677059336048	0.0182761270599	0.0349987459251	0.00983026315112
a	0.0144360415862	0.080183150081	0.641549601652	0.186349707308	0.0260093199513	0.0422522502377	0.00921994126532
m	0.0101769889687	0.037066806827	0.550698382551	0.307367220109	0.0309591805884	0.0522603143119	0.0114710927294
è	0.00902043991823	0.0183970921757	0.384973462317	0.484469652376	0.0355688053295	0.0553700850196	0.012200465555
n	0.0220526282301	0.0154016851572	0.248989796906	0.576529823259	0.0627797377765	0.0590062572322	0.0152400848702
a	0.0262450215047	0.0151379447777	0.158654508562	0.570745687553	0.148320668592	0.0641627936814	0.0167333732034
m	0.0145617275389	0.0119302368726	0.0739546552473	0.585420963984	0.190694074464	0.100301117804	0.0231372189011
à	0.0251653703471	0.0107471525802	0.0379504822958	0.492016024128	0.292389137088	0.114984976025	0.0267468561945
i	0.0292976237512	0.00966289958607	0.0188372974659	0.311457107296	0.552196527029	0.0599028776523	0.018645672339
è	0.0169758167929	0.00862597457362	0.0122471265856	0.171793955463	0.69949208701	0.0527708039041	0.0380942549963
n	0.0113864088238	0.00645606625721	0.0071199896448	0.105652408452	0.67801945527	0.133977704701	0.0573879851488
a	0.00926243884425	0.00961568664814	0.0099405528156	0.0929198717173	0.56804713069	0.220011312967	0.0902030168963
n	0.00702565537142	0.0109696363337	0.0107513192114	0.0837077381558	0.356875624203	0.415608005456	0.115062026432
r	0.00408346964382	0.00689821996303	0.00651504776749	0.0368885664877	0.204203203374	0.597582774485	0.143828716877
ù	0.00346459839416	0.0043451849412	0.00510856784332	0.0306155977658	0.177592393131	0.581320785495	0.197552873559
s	0.00249157866516	0.00245407186193	0.00300075094761	0.0223864924821	0.134200278517	0.658294813165	0.177172012116
t	0.00241426241567	0.0015920441318	0.00195639966784	0.0101723121532	0.0785566264561	0.745012517722	0.160295831202
i	0.00513011297687	0.00360502523949	0.00841872343218	0.0187976463431	0.0800535860098	0.577552523907	0.306442377434
k	0.00495276937154	0.00450456582583	0.0102520921755	0.0203442221933	0.0687566431173	0.554133681302	0.337056020145
o	0.0368137026708	0.0119911318437	0.0136682205939	0.018465387768	0.0601378719164	0.510729650767	0.348194024468
</S>	0.0706618258069	0.0209635615024	0.021712955035	0.0263429525543	0.0841291431642	0.322732290884	0.453457260264
