 	lo	sentii	che	viene	</S>
t	0.931183206	0.031115232427	0.00837584158083	0.0145030096856	0.0148226713946
o	0.66602895964	0.269725026534	0.0290218321414	0.0191201835882	0.0161039394374
n	0.36217364092	0.421498883645	0.119145858692	0.0597560301397	0.0374255402791
ì	0.209527222553	0.454474598015	0.213436153917	0.0783089866616	0.044253019443
k	0.138321467564	0.56198211018	0.218255028239	0.0426184843345	0.0388228965075
u	0.135697593164	0.452651585569	0.31019163368	0.0572490140255	0.0442101661124
s	0.080784332752	0.275626294468	0.45871133258	0.138695136062	0.0461829031348
a	0.0368294470787	0.165650361634	0.414497394547	0.272427063274	0.110595734342
n	0.0229011705496	0.0845893090447	0.334135005849	0.389278303091	0.169096203087
a	0.0171153491979	0.0411795777749	0.24094323725	0.511827717697	0.188934097069
r	0.0114822085013	0.0247371219416	0.108907617337	0.531894199232	0.322978833623
t	0.0129662973151	0.0176363925319	0.117942352636	0.391940534744	0.459514411141
i	0.0347724110344	0.04133161391	0.130741693463	0.275236009248	0.517918264714
</S>	0.0495457987452	0.061935990062	0.0965403567515	0.232530879624	0.559446968857
