 	il	ladro	poteva	entrare	da	qui	</S>
o	0.6713983043	0.319176860524	0.0032037992221	0.00121289431216	0.00138699718015	0.0014657107745	0.00215544973047
l	0.464454029367	0.519365975508	0.00907446519403	0.00130048154745	0.00137643304965	0.00154133231594	0.0028872914757
à	0.303661671522	0.677542845169	0.013616414078	0.00157519164962	0.000681626647183	0.000793069637743	0.00212916848926
d	0.163734669107	0.801362631723	0.0211293046927	0.00360563339427	0.000934437650494	0.00282567843754	0.00640763396093
r	0.210927624169	0.667339343908	0.0468791382976	0.00944783657942	0.0266788220053	0.0118542242743	0.0268730084764
o	0.21947671754	0.450371374969	0.199447429033	0.0264390838998	0.0549297837562	0.0173602637669	0.0319753381034
ì	0.102286255465	0.291221963723	0.477115216344	0.0606133959666	0.0414171578567	0.0124064522935	0.0149395443863
s	0.0378730850059	0.169525034908	0.618644628115	0.116768090869	0.0260601453596	0.0171545987337	0.0139744156416
o	0.0325298557189	0.102503233623	0.582197010038	0.204027697103	0.0396431385665	0.0221202294159	0.0169788438062
z	0.0295137342	0.0533974576877	0.542753284679	0.291225011708	0.0465523657728	0.0225486059093	0.0140095396233
e	0.0151552117322	0.0275732965892	0.436125020226	0.374761078576	0.105146073175	0.0264077336871	0.0148315856536
è	0.0117693384026	0.0125580156497	0.282516857809	0.463419142859	0.186910631725	0.0267142332464	0.0161117662779
m	0.00648869506857	0.0065351084279	0.219754079336	0.474279368286	0.210055735242	0.0550739384488	0.027813059766
b	0.0274041517406	0.0122680518406	0.185045248739	0.391128876249	0.203413140747	0.123204000843	0.057536525462
i	0.0395642362062	0.0147258109402	0.115369296073	0.256681968683	0.292496180582	0.188079319414	0.093083178514
a	0.0221657031794	0.0108032467121	0.0526993205157	0.134429326741	0.379856484861	0.268059868471	0.131986039238
p	0.0130355467982	0.0102831530343	0.0300752957286	0.066382976587	0.32065796122	0.40023010349	0.159334957339
ò	0.0114117887263	0.00889113917357	0.0186876837475	0.0303680411157	0.224513266673	0.56111417783	0.145013895424
t	0.0087816831603	0.00648196707672	0.00930262676717	0.0148732313552	0.131062526291	0.69798165861	0.131516306679
t	0.00652547092597	0.00521836132729	0.00514817659066	0.00715867300107	0.0668681490837	0.753824215537	0.15525697038
u	0.00628660977146	0.00578853910248	0.0131904239116	0.0132662295926	0.0431132614246	0.599202487179	0.31915245766
</S>	0.00417961528573	0.00468965245124	0.0210394309435	0.0213039123656	0.0410409509273	0.441616578589	0.46612985713
