 	li	vestono	i	genitori	</S>
t	0.913217997	0.0126223873333	0.0047358351287	0.0358908217137	0.0335329662502
u	0.814661093933	0.0756132259444	0.0088443465785	0.0667231977992	0.0341581333732
s	0.678401839652	0.172997764515	0.00953521284017	0.11175038211	0.0273147874536
i	0.466563569825	0.352870027372	0.0409919033067	0.113013909183	0.0265605784457
n	0.286346555258	0.509331283124	0.0583267174689	0.109752028241	0.0362434335731
d	0.257671681316	0.487734908575	0.0628686175563	0.149669450507	0.042055379645
ì	0.200472815199	0.509850055058	0.153256618319	0.114523197408	0.0218973150534
n	0.112798534413	0.574874397019	0.207719670973	0.0832744821353	0.0213329082642
n	0.179003462038	0.46835202054	0.240433551658	0.0823524510718	0.0298585232607
o	0.202420182793	0.279599158847	0.410992652553	0.0703392822373	0.0366487399449
n	0.0966615412466	0.156556927322	0.492710039318	0.212884978226	0.0411865360416
e	0.0512933059655	0.0899311217473	0.480859154239	0.314846907409	0.0630695080539
i	0.0391203184502	0.0765234115624	0.50634974648	0.29729418747	0.0807123043513
g	0.0227331854941	0.0627489255341	0.437790505109	0.409063189823	0.0676641649371
e	0.0289018435487	0.0457094744647	0.349146153486	0.487544907274	0.088697614799
n	0.0274877225112	0.0315833346549	0.273027103262	0.549872035758	0.118029795466
i	0.0201726172367	0.0230502815956	0.182803598967	0.595252015919	0.178721473689
t	0.0177213717718	0.0205125982165	0.128929936291	0.637084665973	0.19575143423
ò	0.00864729824553	0.0139359056915	0.0807858312523	0.742800909991	0.153830062677
r	0.00564811784258	0.012989284601	0.0595929554974	0.79079410133	0.130975541455
i	0.00701007123293	0.0165303161288	0.0669543183058	0.629953029777	0.279552267048
</S>	0.0103102849835	0.0229037598994	0.0640118535429	0.450008187888	0.452765916524
