 	l'	ho	sentito	che	viene	</S>
o	0.5599114177	0.16896165604	0.194997708618	0.0107615284735	0.019047304333	0.0463203654396
n	0.262320693633	0.327470110613	0.212489182139	0.0144168491045	0.0924930307413	0.0908101224519
ì	0.117326743634	0.366116653471	0.299189315313	0.0210950963148	0.114047248817	0.0822249404379
k	0.095201021968	0.294187616157	0.446646303771	0.0464028318383	0.052479708347	0.0650825188954
u	0.0940294475847	0.207542380519	0.444473057257	0.135581859213	0.0533992247237	0.064974025198
s	0.0514673875902	0.107774541606	0.350874420552	0.303276239118	0.131751614575	0.0548557970553
a	0.0283565358367	0.0542580705687	0.190178583117	0.394230117353	0.242747189792	0.0902295093584
n	0.0178677908076	0.0306100016809	0.093246398919	0.411036542184	0.326756475931	0.120482784159
a	0.0130958542765	0.0179557167383	0.0431934378863	0.314747920528	0.46726596731	0.143741099893
r	0.00867111121003	0.0112699190961	0.0225370555334	0.162680244576	0.514676607103	0.280165060764
t	0.0148249456972	0.0170917543574	0.0146851060939	0.151290565725	0.396126096368	0.405981522988
i	0.0244881622797	0.0257431244533	0.0373930591214	0.138209872268	0.337263990989	0.436901781796
</S>	0.0243025823689	0.0259094778848	0.0575691744287	0.102530208874	0.336717482794	0.452971060098
