 	mia	mamma	puliva	la	casa	ogni	giorno	</S>
i	0.7467612455	0.22900736575	0.0195427741186	0.00137619178224	0.00053392982032	0.000414647044948	0.000625654189105	0.00173819215278
m	0.550937944	0.379054851477	0.0584790921062	0.00262195442248	0.000958928761573	0.00103332956251	0.000596417275909	0.00631746826338
à	0.333964110387	0.581664060892	0.0724319729687	0.00250037273549	0.000983188198958	0.00116923392586	0.00041485673988	0.00687219838583
n	0.217377522282	0.688499089631	0.0742220868896	0.0022770792465	0.000697796748086	0.00074871428128	0.000342161916833	0.0158355373989
a	0.154785516587	0.697914457877	0.122335382997	0.00333357003017	0.0015298753751	0.000909074141293	0.000379230915164	0.0188128808653
m	0.076652772689	0.663179081626	0.232282350799	0.0137533202981	0.0028223880681	0.00176905089701	0.000475481088588	0.00906556183277
u	0.0491237866463	0.464663089809	0.435611320933	0.032451106366	0.0061664199907	0.003824255336	0.000706199645376	0.00745383916684
i	0.0254715111908	0.23537221337	0.635463098311	0.0773999053553	0.0163099210209	0.00483921981753	0.000578508612505	0.00456563747629
p	0.0195139811689	0.10325477811	0.694894740104	0.145656565752	0.029277959473	0.00364637396584	0.00131207861428	0.0024435425278
u	0.018900397125	0.05988784843	0.693516346701	0.170690951384	0.046994434281	0.00332755357768	0.00174075900516	0.00494173741177
l	0.0107233904803	0.0352477975033	0.659789556234	0.199944961461	0.0726867616537	0.00365970876723	0.00133535696945	0.0166124850278
ì	0.00657617994077	0.0217757870984	0.553841939411	0.264191846887	0.130351066151	0.00496364660908	0.00102225421882	0.0172772697429
z	0.00558606888826	0.0129278613075	0.515634490804	0.272611995962	0.165655497784	0.00827702778103	0.00293964955594	0.0163673895813
z	0.0224370379214	0.0108633527398	0.454966283068	0.313455363987	0.150308446861	0.0167021298183	0.011717739908	0.0195496500191
e	0.0296097205285	0.00820543469127	0.265291587689	0.394594775996	0.233174790954	0.0427831415194	0.0140137971247	0.0123267551384
t	0.014390022371	0.00598685049256	0.131087898163	0.413086855332	0.348282548318	0.0548766003331	0.00937950151223	0.0229097252826
o	0.00762165133387	0.00468551834179	0.076615856681	0.347088704311	0.390605157439	0.135049068271	0.00950447358408	0.0288295838527
s	0.00512069960329	0.00368224228293	0.0390980149537	0.281753903504	0.443539493813	0.178538416824	0.0116063030614	0.0366609402929
p	0.00581634870738	0.0027132159565	0.0262257195912	0.234953049701	0.526668128604	0.114382366675	0.0449685993671	0.0442725844643
ì	0.00673212012474	0.00187094113682	0.0141510791211	0.146786079674	0.505218560268	0.214570694158	0.0743896570357	0.0362808753501
t	0.00482984942705	0.00192374009977	0.0095224892777	0.114541141198	0.447084335489	0.290298413386	0.0805609878452	0.0512390386787
i	0.00526818922848	0.00306304329256	0.0081866812319	0.0917960519993	0.343976896163	0.373421726462	0.103294964015	0.0709924433129
k	0.00705652441056	0.00293713109165	0.0068406740713	0.0465001620398	0.203984280988	0.456198514821	0.166513059605	0.109969640544
à	0.00591891012392	0.00187240470822	0.00506220142443	0.0246625992066	0.130151562349	0.421653567607	0.295700325735	0.114978418837
i	0.00670770381464	0.00177521997641	0.0110688500245	0.016536265265	0.075347871203	0.350207955802	0.402465328845	0.135890801828
m	0.00954459291155	0.0020867180614	0.0137130348078	0.0138515877978	0.0552820235663	0.225036918534	0.479214315615	0.201270802009
è	0.00783093232185	0.00167700513447	0.00612332392927	0.00781181826393	0.0330125234941	0.162477085845	0.602889221205	0.17817809209
r	0.00432860500128	0.00131249126331	0.00297749099638	0.00470056830651	0.017499109369	0.114636915428	0.720093925735	0.13445089277
i	0.00485981743976	0.00384353296386	0.00423875380329	0.00868725178604	0.0200546220773	0.0842133727827	0.592906973912	0.28119567031
</S>	0.00686252250588	0.00637971090593	0.00642140450464	0.014222867488	0.0283365563737	0.0824968351314	0.422106392956	0.433173705855
