 	siete	cucinato	</S>
ì	0.891285814	0.08625378566	0.022460401935
s	0.788501151067	0.164059178433	0.0474396736819
e	0.624925739422	0.270390457631	0.104683824105
s	0.380254131474	0.44180790523	0.177937980242
t	0.189094777058	0.624951533077	0.185953691069
a	0.108047303005	0.687202485692	0.204750215492
m	0.0615797284177	0.676097090564	0.262323169764
a	0.0480689060966	0.627744922188	0.324186143921
r	0.0397139914855	0.547984671396	0.41230132626
à	0.0224689174832	0.520878973132	0.45665210104
t	0.0240431340591	0.608670556377	0.367286296213
a	0.0674763528184	0.499036797492	0.433486861338
</S>	0.109594681002	0.298233286796	0.592172059769
