 	non	li	aspettiamo	più	</S>
e	0.5891847224	0.31667386964	0.0365921720076	0.0057566783993	0.0517925665839
t	0.370411264667	0.50234492188	0.0295722452492	0.0336374937218	0.06403408133
u	0.204395901289	0.641778945293	0.0606500947964	0.0510614772099	0.0421135938877
s	0.090905455163	0.594609547098	0.183073655799	0.083329396766	0.0480819505356
m	0.0753928585877	0.430364875033	0.300492890466	0.124959136889	0.0687902314711
è	0.0626399419159	0.324449154011	0.459555443355	0.0961630805897	0.057192368621
n	0.0649072794186	0.273573639004	0.550042944452	0.0636395827566	0.0478365591163
u	0.0751751373395	0.205517351735	0.507620199484	0.152691309252	0.0589960214701
m	0.0457229290332	0.098690282645	0.551857819161	0.211638745617	0.09209023589
e	0.0317411907111	0.0535906789543	0.454725423987	0.342386031739	0.11755667713
p	0.0773843441057	0.0302786029374	0.219672458196	0.50460751938	0.168057082677
l	0.0817418016106	0.0234357975316	0.148259954885	0.499824913927	0.246737538372
è	0.0310774083329	0.015602708547	0.116946460622	0.627156015976	0.209217392204
o	0.0307832592136	0.00841939164233	0.0506146545073	0.688045751992	0.222136927001
</S>	0.0421706741068	0.00677558296517	0.0311643005437	0.620104970996	0.2997844716
