 	vestito	il	mio	fratello	lo	avevo	portato	fuori	con	me	</S>
n	0.8052883538	0.172012463975	0.0091959696821	0.00144487706628	0.0024364101934	0.00206054951882	0.000771006642956	0.00057576772042	0.000189233185527	0.000663740391938	0.00536167139311
d	0.718212175693	0.224111049365	0.0334148148314	0.00429135303676	0.00304890769513	0.00358205740739	0.00215030005394	0.00198549119706	0.000902360233168	0.00249136525088	0.00581014928021
ì	0.523315598124	0.358570683188	0.0785313973438	0.0102417813716	0.00279701759254	0.00867818341022	0.00528727494909	0.00590100986965	0.00119208471723	0.00294496206142	0.00254001163924
s	0.317624152808	0.545131463063	0.0903902714746	0.0112787513315	0.00332243473607	0.0106262869553	0.00637435029924	0.00931801674568	0.0015106856526	0.00162962737552	0.00279397445415
o	0.195723192263	0.600662084354	0.135348983785	0.0352016652022	0.00403241127176	0.00923926268167	0.00445631675439	0.00967641876868	0.00163176264727	0.00110218957362	0.00292572681369
n	0.0938899486477	0.588081886118	0.230047077928	0.0535728513641	0.00477035599625	0.0102337560799	0.00508206277904	0.00983798770991	0.00144504279984	0.000730372082348	0.00230867131644
t	0.0527344729759	0.608722885373	0.268059377709	0.039586670028	0.00682299627475	0.00773629137263	0.00481919477415	0.00743354405962	0.001409960793	0.000672114063634	0.00200250976319
a	0.0348402547653	0.513515889058	0.38828600497	0.0413625373027	0.00869553994558	0.00499716661088	0.00257638020541	0.00372938950617	0.000725958576347	0.000521614429935	0.000749255273789
o	0.0210333069671	0.283938042526	0.606788467657	0.0585027024742	0.0162796583545	0.00575042062363	0.0019405425143	0.00252969241576	0.000424873888498	0.000912897859788	0.00189937452895
n	0.0142514179477	0.136725400502	0.659443906552	0.124304369238	0.0428947330315	0.00921790239854	0.0057189502737	0.00212844928101	0.000572070261791	0.00114015800036	0.00360263003731
a	0.016321319647	0.0709664887167	0.614552032184	0.217466033479	0.0559513661705	0.0114990962062	0.0068591885715	0.0018371146438	0.000516656244524	0.000662740395723	0.00336794815603
d	0.0154371121554	0.0360225884816	0.532853105395	0.31939609716	0.0626234530568	0.0165575558754	0.0112031892928	0.00220388099673	0.000622382611568	0.000484344225111	0.00259628890028
e	0.0156546820403	0.0230959068779	0.433593071798	0.35187704772	0.117823800486	0.0379889191251	0.0131450400623	0.00276412167864	0.000669597504323	0.000421682276476	0.00296614013344
r	0.0123331556719	0.0118948207366	0.321911588799	0.386013325907	0.181804626695	0.0571461161417	0.0195242503321	0.00399572806995	0.00117108741844	0.000423632191864	0.00378167463319
f	0.02924649373	0.0166637041289	0.213541842613	0.402634159569	0.257420337432	0.0458161032472	0.024471454824	0.00477397391398	0.00178685453408	0.000522363938488	0.00312272738003
ò	0.0347524755364	0.0173991454003	0.141699661664	0.432314995456	0.316981964477	0.0370555286691	0.0128675206773	0.00351026220793	0.0013481358385	0.000459686902236	0.0016106344236
m	0.0136158695806	0.00815429005543	0.0838194241347	0.511400441819	0.283171456159	0.0512967324764	0.0315876420551	0.00500402314458	0.00143440584874	0.00363182149142	0.00688389408773
m	0.0335852244395	0.00891464899904	0.106017944616	0.414035851673	0.304915639386	0.0537060298921	0.0496186114184	0.00670228577953	0.00293691098596	0.00680283410794	0.0127640298332
u	0.0410359172585	0.00853116574718	0.0881833877793	0.230188481091	0.465379441129	0.0936648962974	0.0456424094728	0.00862642391518	0.0044086451702	0.00563229649878	0.00870694029913
o	0.017292622573	0.00455033862466	0.0372974055582	0.10959316541	0.43532533671	0.283748252099	0.0726187560909	0.0262207319984	0.00473508894207	0.00387267039679	0.00474563370904
n	0.007395944633	0.00304179099435	0.0189839471821	0.0650727955833	0.269601500837	0.424061906033	0.162727248697	0.0348016691995	0.00531694407602	0.0029160787746	0.00608017727635
ì	0.00467803304507	0.00221763105665	0.010431220734	0.0384245003011	0.174668366279	0.528696830678	0.189449688432	0.0390007873998	0.00508893770867	0.00203214596355	0.00531182817626
c	0.00834418862419	0.00514087282032	0.0113383350993	0.0253932071204	0.121409459026	0.539962174226	0.216257532344	0.0465260637999	0.00615996640356	0.00318319677186	0.0162849787776
h	0.0120358092961	0.00763079738263	0.012355916845	0.0280502287448	0.146444373675	0.366131102742	0.327570687448	0.0484828678666	0.0160861981028	0.0106073067705	0.0246047226139
a	0.008478014938	0.0047289416137	0.00728801863127	0.0231999590476	0.119950075158	0.298495002914	0.381112014483	0.0992530883555	0.0298353156559	0.0127223330967	0.0149372516407
p	0.00356321242887	0.00289744229617	0.00434210105082	0.0148062166339	0.0577304798727	0.277123187171	0.461373702161	0.114395753385	0.033037684172	0.0100451050142	0.020685110232
à	0.00268049845356	0.00213231157606	0.00299988090201	0.00821433443663	0.0299227241309	0.271700968257	0.46649016672	0.147572949262	0.0371720719707	0.00866505935807	0.0224490153607
r	0.00314573770805	0.00349455040002	0.00304116484667	0.00433204623421	0.0252092921636	0.274810899019	0.438383372907	0.178880930821	0.0363719690436	0.01499763531	0.0173323930658
o	0.00478769081882	0.00583475013427	0.00411432539089	0.00381130185514	0.0264862690919	0.182504522433	0.389154650169	0.254432088007	0.0841465893812	0.0235751172007	0.0211526832673
n	0.00473194013694	0.00476903985446	0.00342397609372	0.00427117330378	0.0155844933573	0.099336811971	0.352362391923	0.316053324669	0.144012704394	0.0316717280669	0.0237823873731
