 	sto	e	cucino	</S>
e	0.846816111	0.1246696183	0.005795907969	0.022718337576
s	0.714578857667	0.198072852833	0.0180344162337	0.0693138561053
t	0.548972484289	0.314992213211	0.0631358399312	0.0728994672011
è	0.33020758023	0.556588544404	0.0824078676437	0.0307960116124
c	0.23355951257	0.643178322935	0.0864144618812	0.0368477013406
e	0.198655732547	0.568404227778	0.184203111294	0.0487369431733
m	0.128422502366	0.511875406593	0.306004158698	0.0536979526578
a	0.0914833485627	0.339816770731	0.474564070233	0.0941358124193
r	0.0548372681222	0.183124445444	0.608817358744	0.153220922806
è	0.0289341451019	0.118450808095	0.711888130915	0.140726925535
o	0.0337760352864	0.060296009263	0.679697773638	0.226230189445
</S>	0.0442417435512	0.0497274330585	0.553978783819	0.352052039622
