 	le	ragazze	vogliono	guardate	</S>
t	0.90631004	0.0626659585	0.00833988597532	0.0139119243584	0.00877215727649
a	0.816257524	0.150315126267	0.0102661036664	0.0143489567106	0.0088122792797
k	0.664862402667	0.286629591422	0.0145126264848	0.0229696204569	0.0110257570012
o	0.432977542689	0.496807344474	0.0275594607683	0.0275332606772	0.0151223745838
r	0.23195647323	0.644172526158	0.0600107273494	0.04352793742	0.020332319846
à	0.12467668593	0.711769661386	0.0960639497831	0.04712605749	0.0203636363409
s	0.0721147932633	0.700379757795	0.178462164461	0.0313730636253	0.0176702078653
i	0.0836215215744	0.569448163932	0.281039559554	0.0315176421204	0.0343731072165
a	0.0807280354075	0.363894300511	0.466714846918	0.0433536607401	0.0453091450828
t	0.0337300061432	0.161501602877	0.676341094306	0.0898339136934	0.0385933529629
è	0.0239825612937	0.0806343086123	0.744664434769	0.119853780298	0.030864899661
l	0.0200754047979	0.0483903779041	0.74955608159	0.155582342566	0.0263957819157
o	0.015059200458	0.0316431668147	0.634230217197	0.212941982322	0.106125412027
n	0.020864108646	0.0229464736876	0.517490568399	0.292573695707	0.146125146256
e	0.0227616849087	0.0170159787565	0.432887396666	0.358364335502	0.168970598865
k	0.0222498384501	0.0173514326802	0.319371299355	0.448627206767	0.192400200555
a	0.0241963312372	0.0206255352901	0.228440043098	0.536925369589	0.189812699785
n	0.0426527438334	0.0202717569376	0.140334000173	0.587686483863	0.209055020195
o	0.0442580527281	0.0198787553388	0.091335532031	0.594145695954	0.250381986065
n	0.0458001907248	0.02001809031	0.0611357300637	0.609478075985	0.263567917822
i	0.0452972771057	0.0153113321031	0.0387398546132	0.589054061328	0.311597467961
m	0.0317941779591	0.0151199022174	0.0261173600964	0.583968910443	0.34299966294
m	0.0385787384023	0.0375527186948	0.0237610907895	0.546920883681	0.35318658638
è	0.0442986237042	0.0482399028056	0.0250575350385	0.447501933427	0.434902010327
n	0.0456460996167	0.0443202890877	0.0257364365082	0.495798599476	0.388498575576
a	0.0356495371542	0.044370991535	0.0478166401601	0.404073856292	0.468088986525
</S>	0.0270259885771	0.0376088904575	0.0656473935601	0.268574905346	0.601142845762
