 	quella	famiglia	non	ha	da	mangiare	</S>
c	0.885653427	0.102031044912	0.0015347305509	0.0008535038564	0.000497011836016	0.00151236468949	0.00791791247683
ì	0.802666617667	0.174124119791	0.0023815107553	0.00180582468347	0.000803485334112	0.00169906277775	0.0165193863202
s	0.682798540222	0.28900316033	0.00403920876957	0.00481259879449	0.00121291590237	0.00243992982103	0.0156936829816
i	0.516223728807	0.450645038177	0.0141476516707	0.00686353665416	0.00220487729098	0.00294262419171	0.00697257621679
f	0.342326937402	0.583223315059	0.0431142034911	0.0168887967481	0.00328509956679	0.00674035799097	0.00442130644398
a	0.243093336799	0.636541604353	0.0818898353179	0.02186213853	0.00383574350511	0.00818271715417	0.00459465791912
m	0.158427465751	0.692051342784	0.101457783219	0.0218967598653	0.00474562886615	0.0157824771394	0.00563858160079
ì	0.0679720167477	0.681749681595	0.182094508053	0.0336465933618	0.00891789547072	0.0186076091336	0.00701169533614
g	0.0520486546066	0.600815171865	0.207037293684	0.0686395383539	0.0220217012089	0.036317426639	0.0131201958093
l	0.0843755533402	0.498795983755	0.181859381828	0.135101986118	0.0345358943996	0.047211624423	0.0181195766
i	0.0925715494834	0.309235771652	0.267560556543	0.222608926773	0.0625535573665	0.0301593936063	0.0153102472855
a	0.0587476009931	0.162313139884	0.294143838314	0.335923985591	0.101183932189	0.0290147010754	0.0186727903825
e	0.0491485825177	0.0951094294947	0.205707266038	0.408796853197	0.16917469413	0.0384580737185	0.0336050881515
n	0.0369921342284	0.0595863484329	0.106061794219	0.385201378666	0.25345219591	0.0885558814595	0.0701502615572
è	0.0220561198653	0.033334958181	0.0474522119263	0.341024932889	0.350851502903	0.13096993212	0.0743103341257
c	0.0234565217001	0.0155611808403	0.0220180223321	0.296873063656	0.380794623188	0.18279359274	0.0785029852286
h	0.0277960909502	0.00901486141143	0.0116706247754	0.237363005719	0.310187137169	0.286854053447	0.117114228203
i	0.0206393470426	0.00602251706381	0.00725850598247	0.167753385766	0.287959776276	0.329744851682	0.180621633214
n	0.0104146959586	0.00641941849367	0.00477283845909	0.0881106315587	0.273220148792	0.378718207894	0.238344072271
a	0.0080214803006	0.00574696875696	0.0036127366713	0.0414441855736	0.187730828097	0.509412786631	0.244031013957
f	0.0065630178042	0.00382033784339	0.00325970649803	0.0222529188039	0.104416876466	0.586392877544	0.273294250919
à	0.00725541809967	0.00266821372102	0.00297845240628	0.0107989411	0.062174175522	0.668324053181	0.245800738386
i	0.0120977856982	0.00733642452916	0.00615533438876	0.0377257145673	0.0439246039873	0.572172188727	0.320587950742
</S>	0.0145451955691	0.0127845192346	0.00922297779138	0.0668243201496	0.0447041871136	0.399268874864	0.452649924971
